,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
45,45,0.02,2400,1,100000.0,200,,227.08,0.22708000000000003,,0.0008417963924932792,0.007622002235310591,0.0009078512729842323
46,46,0.02,2400,1,100000.0,250,,263.16,0.26316,,0.0011231516492432546,0.0078101037825956034,0.0009033032416335576
47,47,0.02,2400,1,100000.0,300,,281.56,0.28156,,0.0013909923195683405,0.007210403852002875,0.0008162047940793648
48,48,0.02,2400,1,100000.0,350,,313.76,0.31376,,0.0017923754736716543,0.006962604927999608,0.0008850202672003357
49,49,0.02,2400,1,100000.0,400,,335.0,0.335,,0.001924569961274756,0.006524428375770967,0.000889186125069032
50,50,0.02,2400,1,100000.0,450,,357.24,0.35724000000000006,,0.0026100693068860886,0.006317030105724928,0.0009099763726910827
51,51,0.02,2400,1,100000.0,500,,374.04,0.37404,,0.0028546764981410887,0.0062743731554240735,0.0009771267929541156
52,52,0.02,2400,1,100000.0,550,,402.68,0.40268,,0.0030690584973399383,0.006487845035345764,0.000941173612628042
53,53,0.02,2400,1,100000.0,600,,418.84,0.41884,,0.0037544205625590615,0.005826147048144777,0.0009412768417751216
54,54,0.02,2400,1,100000.0,650,,432.04,0.43204,,0.003922741701658196,0.006345486085174548,0.0009115392255484736
55,55,0.02,2400,1,100000.0,700,,456.32,0.45632,,0.0048022769344697736,0.006059790406198,0.0009038793079563421
56,56,0.02,2400,1,100000.0,750,,465.36,0.46536,,0.005417677059226664,0.006259586282295999,0.0009243107263586189
57,57,0.02,2400,1,100000.0,800,,488.12,0.48812000000000005,,0.005148756101721119,0.006260442767264468,0.0009108437584836285
58,58,0.02,2400,1,100000.0,850,,498.24,0.49824,,0.006062604216449472,0.006128078254574466,0.0009179270267143412
59,59,0.02,2400,1,100000.0,900,,511.44,0.51144,,0.0060219725265505996,0.005851364033609225,0.0009173057430454147
60,60,0.02,2400,1,100000.0,950,,519.04,0.5190400000000001,,0.006905416048557526,0.006085050478090584,0.0009129663572958819
61,61,0.02,2400,1,100000.0,1000,,532.92,0.5329200000000001,,0.007523129665878514,0.00588226045256476,0.0008612609394762964
62,62,0.02,2400,1,100000.0,1050,,550.0,0.55,,0.007928625189797459,0.005668935331394133,0.0008996297615660395
63,63,0.02,2400,1,100000.0,1100,,565.04,0.56504,,0.008670566619739474,0.0056229553999134685,0.0009152753955176094
64,64,0.02,2400,1,100000.0,1150,,571.72,0.57172,,0.009204567046517695,0.005641578805980134,0.0009416672469492656
65,65,0.02,2400,1,100000.0,1200,,587.6800000000001,0.58768,,0.010007651775977136,0.005639494947177807,0.0009229802884546439
