,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
263,263,2.25,0.02,1415,1,100000.0,,10000.0,10.0,141.5,0.1412795041236358,0.0151172013203484,0.0036187142690921,31479800000000.0,4965601666666.663,17854515151515.152,23326640425531.902,0.1001562016784729,10.0156201678473,31528971975979.938,4973358019816.279,17882404203865.035,23363077029407.95,0.0019456877147825,0.0003069114212713,0.0011035429317753,0.0014417613105263,0.0012705507234678,0.0002004157837735,0.0007206229754612,0.0009414824703058
264,264,2.25,0.02,1420,1,100000.0,,10000.0,10.0,142.0,0.1416805020843753,0.014340623326758,0.0036122004419207,31479800000000.0,4805321428571.432,17653619000000.004,23146215789473.68,0.1002257685517963,10.022576855179636,31550871488568.387,4816170333169.877,17693475319955.95,23198472665657.234,0.001952276458315,0.0002980106576165,0.0010948209574953,0.0014354542336631,0.0012746096786732,0.0001945663314885,0.0007147908703679,0.0009371848191513
265,265,2.25,0.02,1425,1,100000.0,,10000.0,10.0,142.5,0.1377497444472128,0.0146325974971031,0.0035801231430072,31479800000000.0,4647954642857.144,17454016831683.172,22966810526315.797,0.1048525868783616,10.48525868783616,33007384644134.49,4873500679968.63,18300988162204.457,24081294960293.965,0.0019590787994964,0.0002892556306533,0.0010862138368415,0.0014292908974693,0.0012785959724783,0.0001887831589342,0.0007089192315249,0.0009328290344798
266,266,2.25,0.02,1430,1,100000.0,,10000.0,10.0,143.0,0.1427791025870806,0.0144220612207634,0.0036436271423878,31479800000000.0,4493815476190.476,17255876237623.76,22788050526315.797,0.1001548017121705,10.015480171217051,31528531269387.863,4500771979489.404,17282588629489.63,22823326818700.81,0.0019657363885521,0.0002806134919849,0.0010775323806583,0.0014229855381464,0.0012826072784758,0.0001830952051121,0.0007030703009185,0.0009284722097131
267,267,2.25,0.02,1435,1,100000.0,,10000.0,10.0,143.5,0.1432935681169715,0.0148650136636914,0.0036678870117222,31479800000000.0,4342907142857.143,17058621782178.22,22609925000000.0,0.1001441718622447,10.014417186224469,31525185013890.89,4349168392960.557,17083215514874.863,22642522149924.625,0.0019726095927078,0.0002721383328432,0.0010689394775665,0.0014167991837751,0.0012865412948458,0.0001774893544103,0.0006971652093065,0.0009240402475831
268,268,2.25,0.02,1440,1,100000.0,,10000.0,10.0,144.0,0.1438132626609467,0.0147582792784148,0.0036942813369047,31479800000000.0,4194915714285.712,16863052941176.473,22432527083333.33,0.1001299831187168,10.012998311871687,31520718425805.84,4200368396558.686,16884972063300.293,22461685581643.258,0.0019791922838866,0.0002637419809931,0.0010602108102322,0.0014103737797385,0.0012904995183143,0.0001719685864794,0.0006912928829883,0.0009196108423692
269,269,2.25,0.02,1445,1,100000.0,,10000.0,10.0,144.5,0.1442517291062904,0.014516170628354,0.0036326386894419,31479800000000.0,4049859523809.5225,16668500980392.156,22255833333333.34,0.1001722326909693,10.017223269096942,31534018506651.79,4056834705847.861,16697209588174.95,22294165153981.0,0.0019856271967629,0.0002554498825769,0.0010513862501012,0.0014038141269414,0.0012943863652717,0.0001665221173223,0.0006853753962394,0.0009151153188529
270,270,2.25,0.02,1450,1,100000.0,,10000.0,10.0,145.0,0.144515872657048,0.0146346138167917,0.0036234442663958,31479800000000.0,3908037619047.615,16475303921568.623,22079975257731.96,0.1003375033231043,10.033750332310436,31586045371106.6,3921227375880.0703,16530908619795.46,22154495907967.426,0.0019924247464976,0.0002473481681088,0.0010427576807795,0.0013974894727908,0.0012982966964985,0.0001611761297912,0.0006794780352855,0.0009106270985165
271,271,2.25,0.02,1455,1,100000.0,,10000.0,10.0,145.5,0.1452444690325978,0.0147358155023461,0.003636612384038,31479800000000.0,3769168915662.648,16283290291262.14,21904578571428.57,0.1001761638717125,10.017616387171255,31535256034487.383,3775808829555.866,16311975565881.418,21943166525122.32,0.0019990750222926,0.000239355124051,0.0010340446540957,0.0013910156956521,0.0013021391535628,0.0001559089454658,0.0006735465230745,0.000906067046174
272,272,2.25,0.02,1460,1,100000.0,,10000.0,10.0,146.0,0.1456233142224232,0.014576062658981,0.0036006841559518,31479800000000.0,3633382857142.856,16092830097087.377,21730003061224.49,0.1002603644052739,10.026036440527394,31561762194051.414,3642842892810.18,16134730098461.4,21786580254460.85,0.0020055028740895,0.000231474144139,0.0010252357706193,0.0013843665967783,0.0013060044225208,0.0001507383808073,0.0006676442441715,0.000901513989903
