,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
27,27,2.25,0.02,235,1,100000.0,,397.4,0.3974,235.0,0.0143868031872954,0.0437735760629685,0.0068791610609792,4994432681111.111,3074663930000.0,2111481576000.0,1530482776000.0,17.061641778830207,6.788865765877934,85320918592796.1,52525114987309.3,36070873141893.28,26145551392179.74,4.931893968620055e-05,3.0361639569696065e-05,2.085042268946962e-05,1.511318552871562e-05,2.7974216443152464e-05,1.7221438301304495e-05,1.1826576989643604e-05,8.572356295893847e-06
28,28,2.25,0.02,240,1,100000.0,,409.2,0.4091999999999999,240.0,0.0151124601587553,0.0535992483560597,0.00599651147718,5106601046746.987,3165959940000.0,2174177808000.0,1575927408000.0,16.190258875009057,6.623301113418821,82655318667412.1,51244149549465.74,35191188407861.414,25507922180043.105,5.156231926651041e-05,3.196729795746472e-05,2.195308567323297e-05,1.591243792265769e-05,2.913196863945296e-05,1.80610634826461e-05,1.2403177600803231e-05,8.99029851904251e-06
29,29,2.25,0.02,245,1,100000.0,,418.9,0.4188999999999999,245.0,0.0164920544836632,0.0456393974802739,0.0062313905731161,5189779698117.646,3241008355000.0,2225716236000.0,1613284436000.0,15.311954163214324,6.414011157382061,79463606798953.19,49624883624107.125,34079180641848.656,24701896329756.09,5.3542794121600736e-05,3.3437381390407346e-05,2.2962644491533216e-05,1.6644204848938195e-05,3.0121301122008915e-05,1.8810699929191623e-05,1.291797973255328e-05,9.363446835678135e-06
30,30,2.25,0.02,250,1,100000.0,,423.7,0.4236999999999999,250.0,0.0136468215561137,0.0526292735267389,0.0065737660697071,5210129322413.793,3278145715000.0,2251219788000.0,1631770388000.0,20.3184602994374,8.66676027359852,106572909680921.95,67054290898818.08,46048577356094.6,33377773836093.56,5.494155843048682e-05,3.456851513637309e-05,2.373943444938677e-05,1.7207251983508423e-05,3.0774538230441783e-05,1.9362939840519783e-05,1.3297222610750148e-05,9.638336609568811e-06
31,31,2.25,0.02,255,1,100000.0,,434.4,0.4344,255.0,0.0160104520887216,0.0466653007911473,0.0065959767483922,5297418174915.254,3360931080000.0,2308071456000.0,1672978656000.0,16.41575185231706,7.1633827846111,87355971816468.42,55422734435396.84,38060771946507.08,27587906315405.65,5.705718694736668e-05,3.6199761207608025e-05,2.485966940961378e-05,1.801924121949714e-05,3.180992517971011e-05,2.0181711667622428e-05,1.3859502478480303e-05,1.0045898608988584e-05
32,32,2.25,0.02,260,1,100000.0,,440.8,0.4407999999999999,260.0,0.0169636724704957,0.049530943969553,0.0068349351221913,5333392269010.989,3410447560000.0,2342076192000.0,1697626592000.0,15.732107745311234,6.95297022167477,84126401150054.1,53794782956586.61,36942799500611.25,26777557036522.742,5.860656825219093e-05,3.747607856579472e-05,2.573616214127313e-05,1.8654556745969827e-05,3.25669534705465e-05,2.08249986871592e-05,1.4301270658923958e-05,1.0366109118442669e-05
33,33,2.25,0.02,265,1,100000.0,,451.0,0.4509999999999999,265.0,0.0182594686098184,0.0501872957399145,0.0068629537965811,5415184060000.0,3489364450000.0,2396271240000.0,1736909240000.0,14.838834529195642,6.705709089672306,80515851382240.75,51881735941340.14,35629041763610.484,25825295074509.57,6.074164654769252e-05,3.913989621582382e-05,2.6878765168414404e-05,1.9482759214190265e-05,3.359191129307403e-05,2.164551006482429e-05,1.4864745138178096e-05,1.0774537018082564e-05
34,34,2.25,0.02,270,1,100000.0,,452.1,0.4521,270.0,0.0164169354298678,0.043766375153316,0.0071927327636641,5382866217142.857,3497875095000.0,2402115804000.0,1741145604000.0,16.71765774002207,7.572805360387337,90164561255092.5,58590416433048.8,40236132353024.41,29164690916138.12,6.159288327921815e-05,4.002406966115787e-05,2.748595866413129e-05,1.9922876332642408e-05,3.393068850906033e-05,2.2048720050679827e-05,1.5141643841833553e-05,1.0975243811576938e-05
35,35,2.25,0.02,275,1,100000.0,,435.1,0.4351,275.0,0.017360742071446,0.0457202428988231,0.0065281702998076,5135754882577.32,3366346945000.0,2311790724000.0,1675674524000.0,16.533885197311285,7.162581947718907,84544392576091.81,55416538400403.77,38056516907898.0,27584822100332.957,5.993504584878867e-05,3.92857842916079e-05,2.697895172251892e-05,1.955537826859577e-05,3.289356721103755e-05,2.156083419531488e-05,1.4806595193185275e-05,1.0732387709157288e-05
36,36,2.25,0.02,280,1,100000.0,,453.0,0.453,280.0,0.017416806502291,0.0531726918636643,0.0069879267006638,5296607530964.468,3504838350000.0,2406897720000.0,1744611720000.0,16.418179404614314,7.427379759409876,86843080726320.95,57465265829566.23,39463451232886.92,28604622024629.688,6.298835391095942e-05,4.168026365931324e-05,2.862332625714389e-05,2.074728395754057e-05,3.447818366486875e-05,2.281469027873612e-05,1.5667662964939922e-05,1.1356522633476977e-05
