,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
196,196,2.25,0.02,1080,1,100000.0,,1156.6,1.1566000000000003,1080.0,0.0592127255029708,0.0177968261053459,0.006877452042642,11627918132194.492,14570676777615.645,13006975381580.637,18.593722060232032,21.496256780983614,216113361575227.6,270806682936486.9,241744149011230.9,0.0005488244026836,0.0006877192364324,0.0006139143235583,0.000278960682585,0.0003495592154502,0.0003120450874836
197,197,2.25,0.02,1085,1,100000.0,,1150.2,1.1502,1085.0,0.0619816132586492,0.0178439067935351,0.0070342918314912,11433973064650.203,14456130000141.553,12914649560393.707,17.654259146595873,20.29237495800826,201723586061249.12,255041914801412.25,227846384394701.5,0.0005422086448637,0.0006855218752949,0.0006124235729293,0.0002749212085753,0.0003475866794936,0.0003105229516804
198,198,2.25,0.02,1090,1,100000.0,,1177.4,1.1774,1090.0,0.0706562703016742,0.0174381842572725,0.0071062002253874,11537696808130.244,14763266774418.818,13199222451264.86,15.548005561210212,18.316230659059347,179486254469174.7,229664854358316.75,205333788803806.53,0.0005496486362682,0.0007033127654823,0.0006288026753334,0.0002780368896095,0.0003557670861608,0.0003180765465277
199,199,2.25,0.02,1095,1,100000.0,,1170.6,1.1706,1095.0,0.0613559431818657,0.0173379965721333,0.0069598616932702,11305356284437.229,14643480317122.34,13102277919737.27,18.102602971370736,21.21179577626412,204858114371592.88,265346415462619.6,237419138422451.6,0.0005410307963705,0.0007007805520039,0.0006270245429542,0.000273020513553,0.000353635074897,0.0003164155605857
200,200,2.25,0.02,1100,1,100000.0,,1168.8,1.1687999999999998,1100.0,0.0671934588320709,0.0174820033880486,0.0073691698659947,11122518657005.29,14586494396446.926,13061449446257.947,16.62841182582517,19.44602047250496,185051955432874.1,242684179205497.84,217311099702704.1,0.0005347506028736,0.0007012922983411,0.0006279708923114,0.0002691806770346,0.0003530137874594,0.0003161055434852
201,201,2.25,0.02,1105,1,100000.0,,1182.0,1.182,1105.0,0.0650360992157402,0.0160039463231257,0.0070115622561946,11080809774355.2,14716370622052.75,13188045658876.322,17.48961594536009,20.694090676688692,193999392759428.88,257649668430217.6,230892227337645.8,0.0005351668847622,0.0007107525876888,0.0006369394886371,0.0002687224315748,0.0003568889799612,0.0003198253349114
202,202,2.25,0.02,1110,1,100000.0,,1166.2,1.1661999999999997,1110.0,0.068730106400585,0.016391717124776,0.0074787099902056,10767610764851.078,14485261977580.977,12991123305465.512,16.26327586667366,18.95993966130463,175058523750635.16,235499651065962.44,211208123824553.6,0.0005224701178254,0.0007028594084087,0.000630360241684,0.0002616647897675,0.0003520078049685,0.0003156985911549
203,203,2.25,0.02,1115,1,100000.0,,1178.4,1.1784,1115.0,0.0677646199935906,0.0161525209555241,0.0071616561566657,10713443772862.154,14602044896209.465,13106176376654.443,16.576893564125882,19.543425153705225,177679384346029.22,242170715818154.3,217362166554994.6,0.0005221834361316,0.0007117175522744,0.0006388074983176,0.0002903639840218,0.0003957558391886,0.0003552136613306
204,204,2.25,0.02,1120,1,100000.0,,1184.2,1.1842,1120.0,0.0643963559198027,0.0167140611490626,0.0070929631549074,10598542895933.637,14638991898994.594,13149730082074.66,17.493540352768235,20.729986653079298,185532555965878.0,256262545752992.62,230192306276813.84,0.0005188615371814,0.000716665480725,0.0006437572816282,0.0003246824076345,0.000448460055479,0.0004028370753144
205,205,2.25,0.02,1125,1,100000.0,,1189.0,1.189,1125.0,0.0657411797709527,0.0179216180494228,0.0066794054614331,10473193108773.082,14663264372190.246,13181991909460.244,17.245832504543852,20.49919846783571,180565234759216.8,252805018126049.03,227266836293885.72,0.0005150516270113,0.000721111326198,0.0006482651765994,0.0003221643678189,0.0004510545396773,0.0004054893331956
206,206,2.25,0.02,1130,1,100000.0,,1200.9,1.2009,1130.0,0.0678733958854081,0.0171773265475646,0.0072902640894631,10404779098062.95,14774604629587.469,13292673243293.744,16.95073051415189,20.320274095289385,176057925866913.94,249999180383669.6,224923610427885.9,0.0005139801592795,0.0007298428509858,0.0006566377091187,0.0003213841308563,0.0004563598537628,0.0004105857699419
207,207,2.25,0.02,1135,1,100000.0,,1182.8,1.1828,1135.0,0.0688943724894897,0.0181703191104245,0.0067713649962703,10071885078533.27,14517039227779.73,13071396503432.754,16.590194771862752,19.58698346166325,166788845503047.06,240399904689582.62,216460286720984.3,0.0004997005588332,0.0007202398119282,0.0006485165474552,0.0003123559098813,0.0004502119475569,0.0004053787266647
