,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
17,17,0.02,1200,1,100000.0,900,,20000.0,20.0,,0.1793630495752268,0.029874301957056197,0.008488340255044044
18,18,0.02,1200,1,100000.0,950,,20000.0,20.0,,0.18934691480147647,0.030352518090700952,0.007836805980899187
19,19,0.02,1200,1,100000.0,1000,,20000.0,20.0,,0.19974186757499407,0.027962307941614754,0.008011566228769506
20,20,0.02,1200,1,100000.0,1050,,20000.0,20.0,,0.20972055892685604,0.02970694493070264,0.007642986372240453
21,21,0.02,1200,1,100000.0,1100,,20000.0,20.0,,0.219739042722158,0.029271663078694388,0.007679097574759133
22,22,0.02,1200,1,100000.0,1150,,20000.0,20.0,,0.22973078524418267,0.02790639878555477,0.007799574685227957
23,23,0.02,1200,1,100000.0,1200,,20000.0,20.0,,0.23964767923965152,0.03087118014881879,0.007721898862840484
24,24,0.02,1200,1,100000.0,1250,,20000.0,20.0,,0.24945517332989767,0.03040670425820052,0.007267506100765287
25,25,0.02,1200,1,100000.0,1300,,20000.0,20.0,,0.2598145360478429,0.028212242393018207,0.007820150216096179
26,26,0.02,1200,1,100000.0,1350,,20000.0,20.0,,0.2687118832033775,0.028955433829073708,0.007321149311810435
27,27,0.02,1200,1,100000.0,1400,,20000.0,20.0,,0.2798293658680814,0.02843107575820694,0.007326503953127203
28,28,0.02,1200,1,100000.0,1450,,20000.0,20.0,,0.2889997086528365,0.029232999866559632,0.007014655833213321
29,29,0.02,1200,1,100000.0,1500,,20000.0,20.0,,0.2994280965946291,0.0282939507683142,0.0070528649227554014
30,30,0.02,1200,1,100000.0,1550,,20000.0,20.0,,0.3093947692110032,0.02887137890945616,0.007367775777270766
31,31,0.02,1200,1,100000.0,1600,,20000.0,20.0,,0.31935027022104806,0.029937143483673576,0.007016184069459433
32,32,0.02,1200,1,100000.0,1650,,20000.0,20.0,,0.3297461581526386,0.028796122111452008,0.006839150476788783
33,33,0.02,1200,1,100000.0,1700,,20000.0,20.0,,0.33956702428240526,0.02936927724882576,0.006683554139232242
34,34,0.02,1200,1,100000.0,1750,,20000.0,20.0,,0.3495581559583206,0.029863026030085005,0.0068859091709544485
35,35,0.02,1200,1,100000.0,1800,,20000.0,20.0,,0.35975734029691014,0.030341652401949543,0.006722023074181846
36,36,0.02,1200,1,100000.0,1850,,20000.0,20.0,,0.3693115651799417,0.02915734350112221,0.006698644881353364
37,37,0.02,1200,1,100000.0,1900,,20000.0,20.0,,0.3784232901182077,0.02861113081148072,0.006640322109370736
38,38,0.02,1200,1,100000.0,1950,,20000.0,20.0,,0.38951820064585263,0.028903540717363507,0.00663058119813096
39,39,0.02,1200,1,100000.0,2000,,20000.0,20.0,,0.39892145397240714,0.02942570980657148,0.0066514062881610604
40,40,0.02,1200,1,100000.0,2050,,20000.0,20.0,,0.40954710970136154,0.02757947716797537,0.006452381501889068
41,41,0.02,1200,1,100000.0,2100,,20000.0,20.0,,0.41850433654530206,0.030175114600492256,0.006571615910141123
42,42,0.02,2400,1,100000.0,50,,20000.0,20.0,,0.009930688516218141,0.0432973383149091,0.02859230975622847
43,43,0.02,2400,1,100000.0,100,,20000.0,20.0,,0.019953828171795175,0.03340981520282204,0.02109825042678134
44,44,0.02,2400,1,100000.0,150,,20000.0,20.0,,0.02997564323523306,0.03396263636065679,0.018413121481236087
45,45,0.02,2400,1,100000.0,200,,20000.0,20.0,,0.039952560840307565,0.031550666829072406,0.015270432638657844
46,46,0.02,2400,1,100000.0,250,,20000.0,20.0,,0.04987901328586759,0.0313255950040436,0.013753057661829552
47,47,0.02,2400,1,100000.0,300,,20000.0,20.0,,0.05984853950322304,0.030547054863251263,0.013130675692097343
48,48,0.02,2400,1,100000.0,350,,20000.0,20.0,,0.06984786185958683,0.03070372914707976,0.012399887451605597
49,49,0.02,2400,1,100000.0,400,,20000.0,20.0,,0.07988617266153142,0.030694753603700376,0.011459229311676693
50,50,0.02,2400,1,100000.0,450,,20000.0,20.0,,0.08992685439402975,0.029575879500661244,0.010756466425293817
51,51,0.02,2400,1,100000.0,500,,20000.0,20.0,,0.09987365669745712,0.029353306744030295,0.009893287381885687
