,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
23,23,2.5,0.016,1250,1,100000.0,,1034.6,1.0346,1250.0,0.0445440341279663,0.0592417987343488,0.0036502261313687,,28.355042559614247,29.365613181551403,,,
24,24,2.5,0.016,1300,1,100000.0,,1035.6,1.0356,1300.0,0.0480340783097517,0.0617903698661479,0.003673952682271,,27.17447823197694,28.163213895374685,,,
25,25,2.5,0.016,1350,1,100000.0,,1059.5,1.0595,1350.0,0.0500603874654416,0.0619276414337007,0.0036949324207022,,27.2748670465546,28.862207777901908,,,
26,26,2.5,0.016,1400,1,100000.0,,1076.1,1.0760999999999998,1400.0,0.0524786692505358,0.0584203309982163,0.0037394127625846,,27.077857476532284,29.15644416583545,,,
27,27,2.5,0.016,1450,1,100000.0,,1079.8,1.0798,1450.0,0.0563365291842728,0.0619907722306309,0.0037359774594393,,25.97854632162728,28.04275949600775,,,
28,28,2.5,0.016,1500,1,100000.0,,1086.3,1.0863,1500.0,0.0594378888567688,0.059809226739664,0.0037790884642319,,25.3248900816101,27.505799084124543,,,
29,29,2.5,0.016,1550,1,100000.0,,1078.2,1.0782,1550.0,0.06013249439452,0.0636094841701142,0.0036153211436346,,25.998714480471754,28.014150073286043,,,
30,30,2.5,0.016,1600,1,100000.0,,1089.4,1.0894,1600.0,0.0632667823142582,0.0584977132355402,0.0036806173040785,,25.56669950062396,27.84276486436197,,,
31,31,2.5,0.016,1650,1,100000.0,,1077.9,1.0779,1650.0,0.0664486696228095,0.0585080014039283,0.0036988951864389,,25.084627017480067,27.07938359703549,,,
32,32,2.5,0.016,1700,1,100000.0,,1085.6,1.0856,1700.0,0.0680591110041177,0.0581078243233617,0.0036924584720541,,25.08833596680589,27.21079537425484,,,
33,33,2.5,0.016,1750,1,100000.0,,1045.5,1.0455,1750.0,0.0685135893805181,0.0602683582114712,0.0037211354230306,,25.80262996918629,27.0345543608316,,,
34,34,2.5,0.016,1800,1,100000.0,,1009.2,1.0092,1800.0,0.0698997571584868,0.0569859744001067,0.0036792024715789,,25.9739932207607,26.20322800993921,,,
35,35,2.5,0.016,1850,1,100000.0,,930.4,0.9304,1850.0,0.0729387029416556,0.0577500691820229,0.0036284347810344,,25.80455219033424,24.02184831038651,,,
36,36,2.5,0.016,1900,1,100000.0,,870.9,0.8709000000000001,1900.0,0.0782335009851066,0.0609971062384163,0.0036962153759281,,24.892228243626143,21.65532671167938,,,
37,37,2.5,0.016,1950,1,100000.0,,785.6,0.7856000000000001,1950.0,0.0795982842375678,0.0556937350566709,0.0037385609031385,,24.683379521700367,19.379779998681343,,,
38,38,2.5,0.016,2000,1,100000.0,,626.7,0.6267,2000.0,0.0842066123672111,0.0599472566693635,0.0036680006818777,,24.20074855724729,15.1562988479454,,,
39,39,2.5,0.016,2050,1,100000.0,,406.3,0.4063,2050.0,0.0907157310589809,0.0583089140857048,0.0036445339382493,,24.00741453902521,9.81295573656504,,,
40,40,2.5,0.016,2100,1,100000.0,,28.8,0.0287999999999999,2100.0,0.1054560393462995,0.0696533939149673,0.0027819700875362,,20.14967951405326,0.5862492611149641,,,
