P0	SU_photonEnergy	DetectorAtFocus_outgoingMaxF_X	DetectorAtFocus_outgoingMinF_X	DetectorAtFocus_outgoingMaxF_Y	DetectorAtFocus_outgoingMinF_Y	DetectorAtFocus_intensityH_width_X	DetectorAtFocus_intensityH_centerWidth_X	DetectorAtFocus_intensityH_centerMass_X	DetectorAtFocus_intensityH_width_Y	DetectorAtFocus_intensityH_centerWidth_Y	DetectorAtFocus_intensityH_centerMass_Y	DetectorAtFocus_energyH_width	DetectorAtFocus_energyH_centerWidth	DetectorAtFocus_energyH_centerMass	DetectorAtFocus_pathlengthH_width	DetectorAtFocus_pathlengthH_centerWidth	DetectorAtFocus_pathlengthH_centerMass	DetectorAtFocus_phi_width	DetectorAtFocus_phi_centerWidth	DetectorAtFocus_phi_centerMass	DetectorAtFocus_psi_width	DetectorAtFocus_psi_centerWidth	DetectorAtFocus_psi_centerMass	DetectorAtFocus_incoming_NO	DetectorAtFocus_absorbed_NO	DetectorAtFocus_outgoing_NO	DetectorAtFocus_incoming_R	DetectorAtFocus_absorbed_R	DetectorAtFocus_outgoing_R	DetectorAtFocus_efficiency	DetectorAtFocus_S1S0	DetectorAtFocus_S2S0	DetectorAtFocus_S3S0	DetectorAtFocus_focus_horizontal_z0	DetectorAtFocus_focus_horizontal_width	DetectorAtFocus_focus_horizontal_theta	DetectorAtFocus_focus_horizontal_depth	DetectorAtFocus_focus_vertical_z0	DetectorAtFocus_focus_vertical_width	DetectorAtFocus_focus_vertical_theta	DetectorAtFocus_focus_vertical_depth
20	1100	0.0475520792177555	-0.0510738572627049	0.0113053228464138	-0.0114459468864874	0.0322482495665337	0.00109918654766097	0.000192099818722549	0.0148787181599273	0.000235810675023836	0.000154948076328579	0.110264466638328	1000.00365126252	1000.00089359243	0.987187965872881	-0.000115098111783951	0.0142934001390712	0.00471052902752203	6.60904429810481e-05	8.90499670794503e-05	0.0182651082256168	5.40607305641455e-05	7.35197433826967e-05	6823	0	6823	3.4115	0	3.4115	100	1.000	-0.000	0.000	-10.4387	0.0141928	3.73599e-05	759.785	-4.06411	0.00460683	0.000151542	60.7994
21	1150	0.0533006928983517	-0.0514909618180342	0.0115248780643517	-0.0113602811306003	0.0311521726025692	0.000269371594477685	-0.000132675595647058	0.0147810645742547	-0.000114136746591004	-0.000144287267727758	0.114561954445801	1000.00016847534	999.997817642711	0.991800444325077	-0.00204303899686481	-0.00601239364448247	0.00475638849005305	-8.98026074304765e-05	-1.7701849402401e-06	0.0201496840644375	-0.000492132662753221	7.42936515108067e-05	7015	0	7015	3.5075	0	3.5075	100	1.000	-0.000	0.000	-14.524	0.0140682	3.74768e-05	750.767	-3.5152	0.00467611	0.000156209	59.8698
22	1200	0.0524004047242057	-0.0486563470903535	0.0112467937237963	-0.0112030797690224	0.0327947327735887	0.00100970244331306	-0.000129094981382014	0.015071480990515	-2.31831544251207e-05	2.18569773869429e-05	0.112788820205871	999.998423841984	1000.00026279014	0.988904215345491	0.0041035945358589	0.00317844175742721	0.0048378944861929	0.000108596042125313	-4.59839462029002e-05	0.0190759143442033	-0.000146892739172479	-4.43886175818115e-06	6950	0	6950	3.475	0	3.475	100	1.000	-0.000	0.000	-5.82222	0.013891	3.73326e-05	744.175	-4.11154	0.00464338	0.000152506	60.8945
23	1250	0.0541647059112639	-0.0439851285078652	0.0114822275432934	-0.0116038075100738	0.0315061479948846	-0.000536309154530058	0.000230886007683041	0.0145860004922901	0.000159096112740823	-0.000289364587878984	0.117626737444983	1000.00119146573	999.999349981702	0.970564504187534	0.00177146631352643	0.00092236761292952	0.00541680372278774	8.7805491838133e-05	1.53136391717636e-05	0.0189981365674242	0.000217533223609906	0.000521044352617239	6784	0	6784	3.392	0	3.392	100	1.000	-0.000	0.000	-1.63167	0.0141048	3.71463e-05	759.421	-3.46208	0.00464126	0.000151976	61.0788
24	1300	0.0548229612649563	-0.049671432022095	0.0110245203604074	-0.0109930528515278	0.0304882274068624	-0.000203907072748319	0.000506568714756378	0.0146081390584357	-0.000116274797820976	-0.000202262019935796	0.111826811762744	999.998454091298	999.999783420405	0.996477827181793	0.00455642441300125	0.0133060908379024	0.00509951109182224	-5.65656543653772e-05	-3.36211918285471e-05	0.0206897471514577	0.000524045288626389	7.40072850418938e-05	6866	0	6866	3.433	0	3.433	100	1.000	-0.000	0.000	-2.19269	0.0140365	3.7173e-05	755.199	-3.76251	0.00461798	0.000152928	60.3942
25	1350	0.0521670739304215	-0.0564245851333391	0.0110471964651855	-0.0115023166778034	0.0321397519930579	-0.00057360631147213	2.15742809919067e-05	0.0148764149207218	7.86506229086322e-05	-4.29759994270869e-06	0.112391978727447	999.999491804124	1000.00133419107	0.98835527422563	0.00119881790097698	0.00318292985582158	0.00484897164798501	8.00918153369638e-05	-9.70080191139665e-05	0.0193549030180042	-0.000354466620598555	1.83395780921497e-05	6866	0	6866	3.433	0	3.433	100	1.000	-0.000	0.000	-8.34314	0.0140754	3.67812e-05	765.36	-3.60993	0.00463898	0.000153969	60.2587
26	1400	0.0489598078662251	-0.053297301418792	0.0109527987941396	-0.0111293894655106	0.0303458161169979	0.000454041640180567	-0.000143853523114822	0.0153926036554592	0.000116095755766712	-8.82953356854954e-05	0.114573853134386	999.999435054895	999.998769787361	0.978986229075425	0.0018626194233709	-0.00304622855906989	0.00463215723632108	-4.73410476520596e-05	8.24483918379377e-06	0.0189530438047312	-0.000705020332355331	-1.55066890120126e-07	6683	0	6683	3.3415	0	3.3415	100	1.000	-0.000	0.000	-7.42529	0.01403	3.74178e-05	749.912	-4.52244	0.00466573	0.000151443	61.6169
27	1450	0.0553342130816194	-0.0549606418702813	0.0114615925970402	-0.0114881401412761	0.028668775416678	0.000352106551622771	0.000186785605669017	0.0145842792390355	-0.000269551197816713	-1.32737721179749e-05	0.109288524796754	999.998900399978	1000.00020189029	0.988243368246863	0.00196714037315177	0.00117063240338666	0.00434604749912117	-0.000123784035949574	4.67099814909855e-05	0.0190563545195539	0.00019868784793837	4.31128110409754e-05	6973	0	6973	3.4865	0	3.4865	100	1.000	-0.000	0.000	-12.0215	0.0141221	3.76165e-05	750.843	-2.73217	0.00462926	0.000153065	60.4874
28	1500	0.0633724804575597	-0.0513900839916387	0.0112584559522299	-0.0112369537222236	0.029094313498976	-0.00108054394844531	0.00030988316121798	0.0144143984143801	-0.000149618713968409	-0.000211975713456828	0.115647923442755	999.997375117981	999.99886657326	0.983319010495341	-0.00529934659385234	0.00140601374721427	0.00452089953516563	0.000125853876251926	3.60887230266144e-05	0.0197936177061265	-8.7396344629646e-05	0.000178909879313294	6799	0	6799	3.3995	0	3.3995	100	1.000	-0.000	0.000	-3.08023	0.0138567	3.70977e-05	747.036	-3.87459	0.00460077	0.000153312	60.0185
29	1550	0.0541160408124318	-0.0560432428644792	0.0108066153618549	-0.0110496810199931	0.0323631699052031	-0.001352053031678	0.000127084950975423	0.014482085188277	-0.000254701428501567	9.48661450085684e-05	0.117564903278595	1000.00019904524	1000.00003846326	0.986641420618189	-0.00047897197243113	-0.0029151236282785	0.00472708987951059	1.94236719418036e-05	-3.78273775443775e-05	0.0198995924190697	-0.000829557373000684	-8.332265728557e-05	6947	0	6947	3.4735	0	3.4735	100	1.000	-0.000	0.000	-7.30402	0.0141434	3.72098e-05	760.2	-3.44276	0.0046044	0.000152748	60.2875
30	1600	0.05178185170737	-0.0573781691798265	0.011411326917329	-0.0112803248235656	0.0342356850598459	-0.00100213626094386	0.00044421812180729	0.0141916435805265	-0.000165409600646666	6.55010468816886e-05	0.117534511067547	999.997128461202	1000.00059376219	0.975335592215993	0.00354857015882559	-0.00459418688899405	0.00446697275331279	7.9522453538258e-05	5.65872264750404e-05	0.0189716406960761	-0.000237152703478193	0.000136672728956809	6695	0	6695	3.3475	0	3.3475	100	1.000	-0.000	0.000	-3.25677	0.0139881	3.77902e-05	740.303	-3.80276	0.00464306	0.000152893	60.736
31	1650	0.0546316821942004	-0.0537306586823868	0.0104134593857576	-0.0113204129684544	0.0338331719807576	-0.00033566091177073	0.000450511755906796	0.0148005518863634	8.66422146820331e-05	0.000192083773628209	0.118225993157923	1000.00053553512	999.999716046067	0.979032883149768	0.00197309631407089	0.0143990554583101	0.00452212473944616	-7.69455355349147e-05	-1.32896578798006e-06	0.0209395228628161	0.000581980253698652	-7.16218998057933e-05	6869	0	6869	3.4345	0	3.4345	100	1.000	-0.000	0.000	-7.61254	0.0140011	3.72017e-05	752.713	-3.89339	0.0046768	0.000154454	60.5591
32	1700	0.0565685170426745	-0.0453013558648023	0.0109859222644388	-0.0111020262084343	0.0293443229198208	0.000448681426411383	0.000590517573714491	0.0136990900269956	0.00036922155483301	0.000160640587139637	0.108787521506778	999.997527341864	1000.00186685634	0.994134332238757	-0.00282319287054	-0.00152107490453091	0.0046551645023014	0.000168238024797724	4.63649221573411e-05	0.0182289628826318	4.36809869854941e-05	-0.000110284534242035	6872	0	6872	3.436	0	3.436	100	1.000	-0.000	0.000	-8.55719	0.0142881	3.74782e-05	762.475	-3.7878	0.00456212	0.000150683	60.5528
33	1750	0.0557974347994181	-0.059656725386119	0.0113544236422434	-0.0111557879154416	0.0316927385261784	-0.000229268429231749	0.000356575700422586	0.0148935137360624	0.000202396802464595	9.93178634009391e-05	0.11329166944457	999.999183234308	999.999495410751	0.980195790246933	0.00357332660618565	-0.00828945756971078	0.00477107350792821	-1.05858050368389e-05	-2.49848495686251e-05	0.0191145473009113	0.000529076156093402	0.000121419934036054	6729	0	6729	3.3645	0	3.3645	100	1.000	-0.000	0.000	-13.9039	0.0140267	3.69053e-05	760.144	-3.70305	0.00463896	0.00015249	60.8429
34	1800	0.0478879948965584	-0.0480194475656877	0.0108898401107446	-0.0110536295347645	0.0296339092057579	-0.000192140828200323	0.000883852303675409	0.0148075971844497	0.000165035504277155	-8.18947120099812e-05	0.11314110133396	1000.00005396514	1000.00044445436	0.990814166267109	-0.00188467535190712	-0.00428839724969243	0.00465648436507878	6.81675858849305e-05	2.03804452839074e-06	0.0201171194747688	-3.43303361103782e-05	0.000359739384081674	6768	0	6768	3.384	0	3.384	100	1.000	-0.000	0.000	-1.75309	0.0139803	3.69738e-05	756.229	-3.67431	0.00462169	0.000154112	59.9784
35	1850	0.0529947959573195	-0.0525114314360853	0.0109802701401066	-0.0107256290990855	0.0311735439979471	-0.00036309548890215	0.000241682260617111	0.0151485890376304	-5.04918318142431e-05	-0.00030249926640411	0.116359304836878	999.997049581993	999.999073987448	0.993368601792689	0.00141747385340224	-0.00515527788444292	0.00501538995071396	1.97426470539947e-05	-4.19015268028101e-05	0.0185127810953477	0.000478219507468331	6.48724553813096e-05	6925	0	6925	3.4625	0	3.4625	100	1.000	-0.000	0.000	-4.81363	0.0141026	3.7812e-05	745.933	-3.73556	0.00466938	0.000154466	60.4582
36	1900	0.0501269586591567	-0.0547741779916457	0.0114207118178223	-0.0109306164684782	0.0305817395076597	0.000734564284521457	-0.000246359435535554	0.0149140581599183	-7.50473732753186e-05	2.37473946096724e-05	0.103185760524562	1000.0018798426	1000.00078212174	0.981213897842437	-0.0041177834868194	-0.00189266666507137	0.00483271782372022	0.000118792102791782	-7.10222706983704e-06	0.0207062697078129	0.000497128211678776	-0.000173592291971177	6878	0	6878	3.439	0	3.439	100	1.000	-0.000	0.000	-6.56133	0.013962	3.75513e-05	743.623	-3.08089	0.00464555	0.000151513	61.3222
37	1950	0.0540841422758846	-0.0475432452273277	0.0108205461464552	-0.0109775277118268	0.0302869738994722	-0.00020098203895009	0.000251813251905805	0.0149784094371228	0.00027058578262646	-7.84907826858125e-05	0.109405518785279	1000.00119153947	1000.00112104623	0.979133165627493	-0.00382099739048736	-0.00507551987008426	0.00517022107352096	-2.20031678635408e-05	1.18038574646248e-05	0.0184739219100518	0.000164552119066996	0.000350304533153441	6807	0	6807	3.4035	0	3.4035	100	1.000	-0.000	0.000	-6.48493	0.0138921	3.74204e-05	742.488	-3.16633	0.00463851	0.00015153	61.2222
38	2000	0.0477942847120834	-0.0542744625640853	0.0106358944170451	-0.0103825610603677	0.0316885631762941	0.00138673627832952	-0.00020834395740188	0.0143614551122344	-0.000250231918230968	-8.14368412396429e-05	0.118542002056385	1000.00090850471	1000.00082182365	0.980062756604443	-0.00224356512644908	-0.00391077473595669	0.0050325917459096	6.71854744068202e-05	6.56882312555663e-06	0.017833945638227	3.77909349900188e-05	-0.000190809788590235	6733	0	6733	3.3665	0	3.3665	100	1.000	-0.000	0.000	-7.90986	0.0141575	3.69151e-05	767.032	-3.75485	0.00459952	0.000152877	60.1726
