,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
70,70,2.25,0.02,450,1,100000.0,,148.5,0.1485,450.0,0.0147418762047663,0.0217647156601765,0.0065389304306316,3281850000000.0,2286900000000.0,1871100000000.0,31.45378164784183,4.673588642076397,103286308989888.36,71973265087976.5,58887216890162.59,6.390735374408406e-05,4.453272613841151e-05,3.643586684051851e-05,3.5109575338728745e-05,2.446549593739469e-05,2.0017223948777472e-05
71,71,2.25,0.02,455,1,100000.0,,159.0,0.159,455.0,0.0134888397128633,0.0212092187690166,0.0060230786626913,3500681983572.7383,2446091419645.4404,2003400000000.0,42.436460694157006,6.766617134266119,148979715041886.75,104099145359460.22,85259375891753.11,6.895416275389423e-05,4.818152195847163e-05,3.946167355658096e-05,3.794738139360883e-05,2.6515623087300894e-05,2.171684952837884e-05
72,72,2.25,0.02,460,1,100000.0,,159.0,0.1589999999999999,460.0,0.0105184587180246,0.0160281470907372,0.0072647903130092,3486614880113.8955,2441402356440.0537,2003400000000.0,53.29787756669421,8.72273042719784,191275482406856.8,133935186286491.6,109906403382692.8,6.946003732129921e-05,4.863740465339102e-05,3.991155993831618e-05,3.830291626602425e-05,2.6820521693908143e-05,2.2008757802595706e-05
73,73,2.25,0.02,465,1,100000.0,,166.0,0.166,465.0,0.0102620682352493,0.021398829926497,0.0068739076443906,3635400000000.0,2543989979100.344,2091600000000.0,49.81193635245402,8.268781434507368,181086313415711.3,126721066920227.16,104186646074792.8,7.324113284116876e-05,5.125287671394908e-05,4.213873396341216e-05,4.045556748130875e-05,2.831010570260967e-05,2.327580594815024e-05
74,74,2.25,0.02,470,1,100000.0,,160.0,0.16,470.0,0.0214390326904947,0.0185162025234911,0.0066348325724564,3496231941235.061,2448000000000.0,2016000000000.0,22.46316399944541,3.615013536045099,78993286204487.36,55309707101490.01,45549170554168.25,7.120528460049445e-05,4.985668560662894e-05,4.105844697016501e-05,3.941828004328351e-05,2.7599985117655084e-05,2.272939950865713e-05
75,75,2.25,0.02,475,1,100000.0,,161.0,0.1609999999999999,475.0,0.0094362558002103,0.0186567714749916,0.0026165011916088,3503839190640.8594,2463300000000.0,2028600000000.0,50.56975710652959,8.138305703804724,177113754474577.84,124516077268212.23,102542651867939.5,7.213270003006891e-05,5.071136839232906e-05,4.1762303381918055e-05,4.000154340253468e-05,2.8122238636597156e-05,2.3159490641903536e-05
76,76,2.25,0.02,480,1,100000.0,,150.5,0.1505,480.0,0.0223003972635637,0.017193076581018,0.0060413141457875,3265850000000.0,2302650000000.0,1896300000000.0,21.61059255839251,3.239419598713293,70295405292078.47,49563119860313.39,40816686943787.49,6.796610799680294e-05,4.792080425581037e-05,3.946419174007912e-05,3.776007492238944e-05,2.662346296371236e-05,2.1925204793645476e-05
77,77,2.25,0.02,485,1,100000.0,,160.5,0.1605,485.0,0.0194067830736343,0.028608708107843,0.0063551732310407,3480607944195.6973,2455650000000.0,2022300000000.0,25.90959664683894,4.117028310146045,89282002758709.72,62990533145234.5,51874556707840.17,7.319811871619104e-05,5.164297821165581e-05,4.252951146842244e-05,4.073561694839005e-05,2.8739926864250613e-05,2.3668175064676976e-05
78,78,2.25,0.02,490,1,100000.0,,153.5,0.1535,490.0,0.0165625323101607,0.0222048105766291,0.0073107757261781,3315225092237.243,2345140153895.6533,1934100000000.0,29.62776482675522,4.552936199646614,98332301839894.0,69558785015741.695,57366996115547.336,7.045184999806443e-05,4.9836574516030136e-05,4.110156001181272e-05,3.928075589570919e-05,2.7786613386252944e-05,2.2916365514904343e-05
79,79,2.25,0.02,495,1,100000.0,,163.0,0.1629999999999999,495.0,0.0210055643038913,0.0203252548162701,0.0066892663018015,3505980834665.88,2485472093731.7246,2053800000000.0,26.41491772139606,4.236222440375087,91117268020469.84,64595169683388.86,53376402748726.09,7.52881057484825e-05,5.3373505062417e-05,4.4103695621305154e-05,4.203496420133586e-05,2.9799572618995508e-05,2.462403919128411e-05
80,80,2.25,0.02,500,1,100000.0,,163.5,0.1634999999999999,500.0,0.0199904617513481,0.0226022674421256,0.0058581353701926,3515250000000.0,2488274468432.724,2060100000000.0,25.026776431490177,4.098888192895478,88126096147252.78,62380176387413.84,51645991230483.03,7.627781038795233e-05,5.399335128263827e-05,4.470234469247439e-05,4.265334698790503e-05,3.0192229372933904e-05,2.4996845211516437e-05
81,81,2.25,0.02,505,1,100000.0,,149.0,0.149,505.0,0.0236269117191056,0.0145645508496193,0.0076648099964169,3193388770563.495,2264800000000.0,1877400000000.0,21.757995201305796,3.230378275425875,69233917512867.51,49101749786473.3,40702766270366.016,7.00073141357929e-05,4.965025446205413e-05,4.115744777775539e-05,3.919552504395299e-05,2.779806390559852e-05,2.304313192174614e-05
82,82,2.25,0.02,510,1,100000.0,,158.0,0.158,510.0,0.0193907832245088,0.022417883466514,0.0063213482553751,3372299285171.8184,2401600000000.0,1990800000000.0,26.90261168299725,4.246590115755724,90637802606207.22,64548169759487.01,53507035458522.125,7.466973565105647e-05,5.317643007786616e-05,4.4080461775073256e-05,4.187516651937757e-05,2.9821611727979616e-05,2.47205465639831e-05
83,83,2.25,0.02,515,1,100000.0,,147.5,0.1475,515.0,0.0167501038493469,0.018402276561386,0.0078070729685553,3141750000000.0,2242000000000.0,1858500000000.0,31.39036683730596,4.60084755847557,97998052995529.64,69932882888828.66,57970679236792.19,7.025727197840702e-05,5.013664479210266e-05,4.156063976187457e-05,3.944622732477552e-05,2.814942043833745e-05,2.3334387994937628e-05
84,84,2.25,0.02,520,1,100000.0,,166.5,0.1664999999999999,520.0,0.028334363498061,0.0165781547445138,0.0077448054027324,3540909051579.5303,2530800000000.0,2097900000000.0,18.42442051298545,3.0947599902154046,65815397368287.7,47040351851274.14,38993975876714.09,7.997287370971906e-05,5.7159149200477886e-05,4.7381926310922456e-05,4.495787299207383e-05,3.213281767787447e-05,2.663641465402752e-05
85,85,2.25,0.02,525,1,100000.0,,164.0,0.164,525.0,0.0264918235620825,0.0221962744200237,0.0056251245043668,3473232641873.877,2488101280179.1357,2066400000000.0,20.21670382146645,3.329744965254423,70518164039249.14,50516723845850.97,41954786562205.72,7.92044902301838e-05,5.673930135337368e-05,4.712271692901908e-05,4.459365602880967e-05,3.1945321288149514e-05,2.653099873212537e-05
86,86,2.25,0.02,530,1,100000.0,,147.5,0.1475,530.0,0.0207419125339924,0.0138267975912175,0.0053744296868844,3112250000000.0,2233424100109.789,1858500000000.0,26.846340712212942,3.9392045791555392,83117216620181.86,59646877575246.24,49633977697359.79,7.165904941692067e-05,5.14242261896406e-05,4.279165984138392e-05,4.04125855874222e-05,2.9001025816916465e-05,2.4132634047465395e-05
87,87,2.25,0.02,535,1,100000.0,,169.0,0.1689999999999999,535.0,0.0224174619251584,0.0197994820486764,0.0060982065292092,3565900000000.0,2553990080844.168,2129400000000.0,24.156309745016834,4.079765095641569,86083043518037.12,61654908795519.695,51405040205083.78,8.290023131863234e-05,5.937529613490957e-05,4.95044035362449e-05,4.682467043883274e-05,3.353704361860287e-05,2.796165154167263e-05
88,88,2.25,0.02,540,1,100000.0,,148.0,0.148,540.0,0.0313340484563013,0.0214720588439369,0.0066100057543903,3109898731736.699,2232265703900.6816,1864800000000.0,19.40991990386107,2.911664102254502,61182300667868.57,43916269707712.78,36686967688406.72,7.299630710262819e-05,5.239628904752214e-05,4.377104376288288e-05,4.130192600388462e-05,2.964626210578527e-05,2.476602560271566e-05
89,89,2.25,0.02,545,1,100000.0,,150.5,0.1505,545.0,0.0137799108164244,0.0102621441270784,0.0060298813866719,3149115586511.9404,2265534504568.0034,1896300000000.0,134.50541274456822,21.31668957334525,446038002579788.0,320888343864310.0,268590288624150.16,7.424925928792967e-05,5.341634952235602e-05,4.471060731805476e-05,4.227985425480888e-05,3.0416942799000885e-05,2.545962046194651e-05
90,90,2.25,0.02,550,1,100000.0,,170.5,0.1704999999999999,550.0,0.0254932818995712,0.0141971183304507,0.0070329481551823,3552518142616.928,2561574003233.389,2148300000000.0,21.5758867838958,3.6773059224241034,76619917920025.22,55247456028256.66,46334054622543.69,8.456349060206151e-05,6.097523797284367e-05,5.11377393632633e-05,4.822296260030635e-05,3.477158522400846e-05,2.9161678109805267e-05
91,91,2.25,0.02,555,1,100000.0,,149.0,0.1489999999999999,555.0,0.0203106538930341,0.0140684584086531,0.0078817049046664,3099200000000.0,2235000000000.0,1877400000000.0,30.56521186043842,4.424854722188627,92036978221523.44,66372820832829.41,55753169499576.7,7.447376457195981e-05,5.370704175862486e-05,4.511391507724488e-05,4.251306070854644e-05,3.0658457241740215e-05,2.5753104083061786e-05
92,92,2.25,0.02,560,1,100000.0,,146.5,0.1464999999999999,560.0,0.0297243373279911,0.024594889462389,0.0057425809466108,3041184343835.8687,2197500000000.0,1845900000000.0,19.43134982365341,2.7636273267051417,57369966949983.97,41454409900577.125,34821704316484.785,7.375985268046615e-05,5.329741901172702e-05,4.4769831969850696e-05,4.216178474304315e-05,3.046527651657464e-05,2.5590832273922696e-05
93,93,2.25,0.02,565,1,100000.0,,163.5,0.1634999999999999,565.0,0.0290733395711412,0.0070190303615508,0.0051899704927293,3379620964651.9707,2452500000000.0,2060100000000.0,19.61589992847841,3.183562596789665,65805718008515.11,47753438951844.98,40112888719549.79,8.271227569256603e-05,6.002207296548346e-05,5.041854129100611e-05,4.7328092087997694e-05,3.434472299107877e-05,2.8849567312506164e-05
94,94,2.25,0.02,570,1,100000.0,,156.5,0.1565,570.0,0.0274520151934893,0.0204180330725779,0.0070093946830884,3221081773350.0283,2347500000000.0,1971900000000.0,20.78330207576712,3.256756361674494,67030533909466.24,48851345425117.41,41035130157098.64,7.954455251207903e-05,5.7971467401741705e-05,4.869603261746304e-05,4.5569265694896365e-05,3.3210535697612235e-05,2.789684998599428e-05
95,95,2.25,0.02,575,1,100000.0,,143.5,0.1434999999999999,575.0,0.026622573868451,0.0235326834806694,0.005325117413445,2941750000000.0,2149119086607.646,1808100000000.0,22.23668362385851,3.2041519434247805,65685114840208.0,47986788139408.91,40372314487152.24,7.330539015131676e-05,5.355384146355571e-05,4.505599589788249e-05,4.1978703487011466e-05,3.066787894789812e-05,2.5801544582260704e-05
96,96,2.25,0.02,580,1,100000.0,,156.5,0.1565,580.0,0.0267095565569093,0.0146753345500538,0.0052361172463419,3208250000000.0,2339197465974.211,1971900000000.0,21.71518041683525,3.399650939503103,69692844259813.6,50814408069536.766,42835601837739.09,8.065042569685188e-05,5.880379378783365e-05,4.957050555026017e-05,4.618246987865091e-05,3.3672536900980454e-05,2.8385322949804943e-05
97,97,2.25,0.02,585,1,100000.0,,146.5,0.1465,585.0,0.0241017472077942,0.0148351249892954,0.006666398551844,2991028008171.297,2185407553169.5527,1845553501198.966,26.105061262966583,3.9039408794707873,79705095650116.1,58236872935992.13,49180421560280.42,7.585200698178627e-05,5.542159703225751e-05,4.680295091713059e-05,4.340034386464467e-05,3.171064899186274e-05,2.677930676470176e-05
98,98,2.25,0.02,590,1,100000.0,,141.0,0.141,590.0,0.0273373702972889,0.018965959859271,0.0053520093567135,2866262156715.082,2100900000000.0,1773771575905.9895,21.811520131741403,3.075424338575538,62517534734039.56,45823822644775.53,38688654436984.17,7.332819502409607e-05,5.374777201213181e-05,4.5378775888140735e-05,4.192568681356012e-05,3.0730502169960494e-05,2.5945495388830143e-05
