Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays
251,2.25,0.02,1355,1,100000.0
252,2.25,0.02,1360,1,100000.0
253,2.25,0.02,1365,1,100000.0
254,2.25,0.02,1370,1,100000.0
255,2.25,0.02,1375,1,100000.0
256,2.25,0.02,1380,1,100000.0
257,2.25,0.02,1385,1,100000.0
258,2.25,0.02,1390,1,100000.0
259,2.25,0.02,1395,1,100000.0
260,2.25,0.02,1400,1,100000.0
261,2.25,0.02,1405,1,100000.0
262,2.25,0.02,1410,1,100000.0
263,2.25,0.02,1415,1,100000.0
264,2.25,0.02,1420,1,100000.0
265,2.25,0.02,1425,1,100000.0
266,2.25,0.02,1430,1,100000.0
267,2.25,0.02,1435,1,100000.0
268,2.25,0.02,1440,1,100000.0
269,2.25,0.02,1445,1,100000.0
270,2.25,0.02,1450,1,100000.0
271,2.25,0.02,1455,1,100000.0
272,2.25,0.02,1460,1,100000.0
273,2.25,0.02,1465,1,100000.0
274,2.25,0.02,1470,1,100000.0
275,2.25,0.02,1475,1,100000.0
276,2.25,0.02,1480,1,100000.0
277,2.25,0.02,1485,1,100000.0
278,2.25,0.02,1490,1,100000.0
279,2.25,0.02,1495,1,100000.0
280,2.25,0.02,1500,1,100000.0
281,2.25,0.02,1505,1,100000.0
282,2.25,0.02,1510,1,100000.0
283,2.25,0.02,1515,1,100000.0
284,2.25,0.02,1520,1,100000.0
285,2.25,0.02,1525,1,100000.0
286,2.25,0.02,1530,1,100000.0
287,2.25,0.02,1535,1,100000.0
288,2.25,0.02,1540,1,100000.0
289,2.25,0.02,1545,1,100000.0
290,2.25,0.02,1550,1,100000.0
291,2.25,0.02,1555,1,100000.0
292,2.25,0.02,1560,1,100000.0
293,2.25,0.02,1565,1,100000.0
294,2.25,0.02,1570,1,100000.0
295,2.25,0.02,1575,1,100000.0
296,2.25,0.02,1580,1,100000.0
297,2.25,0.02,1585,1,100000.0
298,2.25,0.02,1590,1,100000.0
299,2.25,0.02,1595,1,100000.0
300,2.25,0.02,1600,1,100000.0
301,2.25,0.02,1605,1,100000.0
302,2.25,0.02,1610,1,100000.0
303,2.25,0.02,1615,1,100000.0
304,2.25,0.02,1620,1,100000.0
305,2.25,0.02,1625,1,100000.0
306,2.25,0.02,1630,1,100000.0
307,2.25,0.02,1635,1,100000.0
308,2.25,0.02,1640,1,100000.0
309,2.25,0.02,1645,1,100000.0
310,2.25,0.02,1650,1,100000.0
311,2.25,0.02,1655,1,100000.0
312,2.25,0.02,1660,1,100000.0
313,2.25,0.02,1665,1,100000.0
314,2.25,0.02,1670,1,100000.0
315,2.25,0.02,1675,1,100000.0
316,2.25,0.02,1680,1,100000.0
317,2.25,0.02,1685,1,100000.0
318,2.25,0.02,1690,1,100000.0
319,2.25,0.02,1695,1,100000.0
320,2.25,0.02,1700,1,100000.0
321,2.25,0.02,1705,1,100000.0
322,2.25,0.02,1710,1,100000.0
323,2.25,0.02,1715,1,100000.0
324,2.25,0.02,1720,1,100000.0
325,2.25,0.02,1725,1,100000.0
326,2.25,0.02,1730,1,100000.0
327,2.25,0.02,1735,1,100000.0
328,2.25,0.02,1740,1,100000.0
329,2.25,0.02,1745,1,100000.0
330,2.25,0.02,1750,1,100000.0
331,2.25,0.02,1755,1,100000.0
332,2.25,0.02,1760,1,100000.0
333,2.25,0.02,1765,1,100000.0
334,2.25,0.02,1770,1,100000.0
335,2.25,0.02,1775,1,100000.0
336,2.25,0.02,1780,1,100000.0
337,2.25,0.02,1785,1,100000.0
338,2.25,0.02,1790,1,100000.0
339,2.25,0.02,1795,1,100000.0
340,2.25,0.02,1800,1,100000.0
341,2.25,0.02,1805,1,100000.0
342,2.25,0.02,1810,1,100000.0
343,2.25,0.02,1815,1,100000.0
344,2.25,0.02,1820,1,100000.0
345,2.25,0.02,1825,1,100000.0
346,2.25,0.02,1830,1,100000.0
347,2.25,0.02,1835,1,100000.0
348,2.25,0.02,1840,1,100000.0
349,2.25,0.02,1845,1,100000.0
350,2.25,0.02,1850,1,100000.0
351,2.25,0.02,1855,1,100000.0
352,2.25,0.02,1860,1,100000.0
353,2.25,0.02,1865,1,100000.0
354,2.25,0.02,1870,1,100000.0
355,2.25,0.02,1875,1,100000.0
356,2.25,0.02,1880,1,100000.0
357,2.25,0.02,1885,1,100000.0
358,2.25,0.02,1890,1,100000.0
359,2.25,0.02,1895,1,100000.0
360,2.25,0.02,1900,1,100000.0
361,2.25,0.02,1905,1,100000.0
362,2.25,0.02,1910,1,100000.0
363,2.25,0.02,1915,1,100000.0
364,2.25,0.02,1920,1,100000.0
365,2.25,0.02,1925,1,100000.0
366,2.25,0.02,1930,1,100000.0
367,2.25,0.02,1935,1,100000.0
368,2.25,0.02,1940,1,100000.0
369,2.25,0.02,1945,1,100000.0
370,2.25,0.02,1950,1,100000.0
371,2.25,0.02,1955,1,100000.0
372,2.25,0.02,1960,1,100000.0
373,2.25,0.02,1965,1,100000.0
374,2.25,0.02,1970,1,100000.0
375,2.25,0.02,1975,1,100000.0
376,2.25,0.02,1980,1,100000.0
377,2.25,0.02,1985,1,100000.0
378,2.25,0.02,1990,1,100000.0
379,2.25,0.02,1995,1,100000.0
380,2.25,0.02,2000,1,100000.0
381,2.25,0.02,2005,1,100000.0
382,2.25,0.02,2010,1,100000.0
383,2.25,0.02,2015,1,100000.0
384,2.25,0.02,2020,1,100000.0
385,2.25,0.02,2025,1,100000.0
386,2.25,0.02,2030,1,100000.0
387,2.25,0.02,2035,1,100000.0
388,2.25,0.02,2040,1,100000.0
389,2.25,0.02,2045,1,100000.0
390,2.25,0.02,2050,1,100000.0
391,2.25,0.02,2055,1,100000.0
392,2.25,0.02,2060,1,100000.0
393,2.25,0.02,2065,1,100000.0
394,2.25,0.02,2070,1,100000.0
395,2.25,0.02,2075,1,100000.0
396,2.25,0.02,2080,1,100000.0
397,2.25,0.02,2085,1,100000.0
398,2.25,0.02,2090,1,100000.0
399,2.25,0.02,2095,1,100000.0
400,2.25,0.02,2100,1,100000.0
