Simulation Number,PG.cFactor,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy
486,25.0,0.01,600,1,100000.0,950
487,25.0,0.01,600,1,100000.0,1000
488,25.0,0.01,600,1,100000.0,1050
489,25.0,0.01,600,1,100000.0,1100
490,25.0,0.01,600,1,100000.0,1150
491,25.0,0.01,600,1,100000.0,1200
492,25.0,0.01,600,1,100000.0,1250
493,25.0,0.01,600,1,100000.0,1300
494,25.0,0.01,600,1,100000.0,1350
495,25.0,0.01,600,1,100000.0,1400
496,25.0,0.01,600,1,100000.0,1450
497,25.0,0.01,600,1,100000.0,1500
498,25.0,0.01,600,1,100000.0,1550
499,25.0,0.01,600,1,100000.0,1600
500,25.0,0.01,600,1,100000.0,1650
501,25.0,0.01,600,1,100000.0,1700
502,25.0,0.01,600,1,100000.0,1750
503,25.0,0.01,600,1,100000.0,1800
504,25.0,0.01,600,1,100000.0,1850
505,25.0,0.01,600,1,100000.0,1900
506,25.0,0.01,600,1,100000.0,1950
507,25.0,0.01,600,1,100000.0,2000
508,25.0,0.01,1200,1,100000.0,100
509,25.0,0.01,1200,1,100000.0,150
510,25.0,0.01,1200,1,100000.0,200
511,25.0,0.01,1200,1,100000.0,250
512,25.0,0.01,1200,1,100000.0,300
513,25.0,0.01,1200,1,100000.0,350
514,25.0,0.01,1200,1,100000.0,400
515,25.0,0.01,1200,1,100000.0,450
516,25.0,0.01,1200,1,100000.0,500
517,25.0,0.01,1200,1,100000.0,550
518,25.0,0.01,1200,1,100000.0,600
519,25.0,0.01,1200,1,100000.0,650
520,25.0,0.01,1200,1,100000.0,700
521,25.0,0.01,1200,1,100000.0,750
522,25.0,0.01,1200,1,100000.0,800
523,25.0,0.01,1200,1,100000.0,850
524,25.0,0.01,1200,1,100000.0,900
525,25.0,0.01,1200,1,100000.0,950
526,25.0,0.01,1200,1,100000.0,1000
527,25.0,0.01,1200,1,100000.0,1050
528,25.0,0.01,1200,1,100000.0,1100
529,25.0,0.01,1200,1,100000.0,1150
530,25.0,0.01,1200,1,100000.0,1200
531,25.0,0.01,1200,1,100000.0,1250
532,25.0,0.01,1200,1,100000.0,1300
533,25.0,0.01,1200,1,100000.0,1350
534,25.0,0.01,1200,1,100000.0,1400
535,25.0,0.01,1200,1,100000.0,1450
536,25.0,0.01,1200,1,100000.0,1500
537,25.0,0.01,1200,1,100000.0,1550
538,25.0,0.01,1200,1,100000.0,1600
539,25.0,0.01,1200,1,100000.0,1650
540,25.0,0.01,1200,1,100000.0,1700
541,25.0,0.01,1200,1,100000.0,1750
542,25.0,0.01,1200,1,100000.0,1800
543,25.0,0.01,1200,1,100000.0,1850
544,25.0,0.01,1200,1,100000.0,1900
545,25.0,0.01,1200,1,100000.0,1950
546,25.0,0.01,1200,1,100000.0,2000
547,25.0,0.01,2400,1,100000.0,100
548,25.0,0.01,2400,1,100000.0,150
549,25.0,0.01,2400,1,100000.0,200
550,25.0,0.01,2400,1,100000.0,250
551,25.0,0.01,2400,1,100000.0,300
552,25.0,0.01,2400,1,100000.0,350
553,25.0,0.01,2400,1,100000.0,400
554,25.0,0.01,2400,1,100000.0,450
555,25.0,0.01,2400,1,100000.0,500
556,25.0,0.01,2400,1,100000.0,550
557,25.0,0.01,2400,1,100000.0,600
558,25.0,0.01,2400,1,100000.0,650
559,25.0,0.01,2400,1,100000.0,700
560,25.0,0.01,2400,1,100000.0,750
561,25.0,0.01,2400,1,100000.0,800
562,25.0,0.01,2400,1,100000.0,850
563,25.0,0.01,2400,1,100000.0,900
564,25.0,0.01,2400,1,100000.0,950
565,25.0,0.01,2400,1,100000.0,1000
566,25.0,0.01,2400,1,100000.0,1050
567,25.0,0.01,2400,1,100000.0,1100
568,25.0,0.01,2400,1,100000.0,1150
569,25.0,0.01,2400,1,100000.0,1200
570,25.0,0.01,2400,1,100000.0,1250
571,25.0,0.01,2400,1,100000.0,1300
572,25.0,0.01,2400,1,100000.0,1350
573,25.0,0.01,2400,1,100000.0,1400
574,25.0,0.01,2400,1,100000.0,1450
575,25.0,0.01,2400,1,100000.0,1500
576,25.0,0.01,2400,1,100000.0,1550
577,25.0,0.01,2400,1,100000.0,1600
578,25.0,0.01,2400,1,100000.0,1650
579,25.0,0.01,2400,1,100000.0,1700
580,25.0,0.01,2400,1,100000.0,1750
581,25.0,0.01,2400,1,100000.0,1800
582,25.0,0.01,2400,1,100000.0,1850
583,25.0,0.01,2400,1,100000.0,1900
584,25.0,0.01,2400,1,100000.0,1950
585,25.0,0.01,2400,1,100000.0,2000
586,25.0,0.008,600,1,100000.0,100
587,25.0,0.008,600,1,100000.0,150
588,25.0,0.008,600,1,100000.0,200
589,25.0,0.008,600,1,100000.0,250
590,25.0,0.008,600,1,100000.0,300
591,25.0,0.008,600,1,100000.0,350
592,25.0,0.008,600,1,100000.0,400
593,25.0,0.008,600,1,100000.0,450
594,25.0,0.008,600,1,100000.0,500
595,25.0,0.008,600,1,100000.0,550
596,25.0,0.008,600,1,100000.0,600
597,25.0,0.008,600,1,100000.0,650
598,25.0,0.008,600,1,100000.0,700
599,25.0,0.008,600,1,100000.0,750
600,25.0,0.008,600,1,100000.0,800
601,25.0,0.008,600,1,100000.0,850
602,25.0,0.008,600,1,100000.0,900
603,25.0,0.008,600,1,100000.0,950
604,25.0,0.008,600,1,100000.0,1000
605,25.0,0.008,600,1,100000.0,1050
606,25.0,0.008,600,1,100000.0,1100
607,25.0,0.008,600,1,100000.0,1150
608,25.0,0.008,600,1,100000.0,1200
609,25.0,0.008,600,1,100000.0,1250
610,25.0,0.008,600,1,100000.0,1300
611,25.0,0.008,600,1,100000.0,1350
612,25.0,0.008,600,1,100000.0,1400
613,25.0,0.008,600,1,100000.0,1450
614,25.0,0.008,600,1,100000.0,1500
615,25.0,0.008,600,1,100000.0,1550
616,25.0,0.008,600,1,100000.0,1600
617,25.0,0.008,600,1,100000.0,1650
618,25.0,0.008,600,1,100000.0,1700
619,25.0,0.008,600,1,100000.0,1750
620,25.0,0.008,600,1,100000.0,1800
621,25.0,0.008,600,1,100000.0,1850
