Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy
113,0.02,2400,1,100000.0,800
114,0.02,2400,1,100000.0,825
115,0.02,2400,1,100000.0,850
116,0.02,2400,1,100000.0,875
117,0.02,2400,1,100000.0,900
118,0.02,2400,1,100000.0,925
119,0.02,2400,1,100000.0,950
120,0.02,2400,1,100000.0,975
121,0.02,2400,1,100000.0,1000
122,0.02,2400,1,100000.0,1025
123,0.02,2400,1,100000.0,1050
124,0.02,2400,1,100000.0,1075
125,0.02,2400,1,100000.0,1100
126,0.02,2400,1,100000.0,1125
127,0.02,2400,1,100000.0,1150
128,0.02,2400,1,100000.0,1175
129,0.02,2400,1,100000.0,1200
130,0.02,2400,1,100000.0,1225
131,0.02,2400,1,100000.0,1250
132,0.02,2400,1,100000.0,1275
133,0.02,2400,1,100000.0,1300
134,0.02,2400,1,100000.0,1325
135,0.02,2400,1,100000.0,1350
136,0.02,2400,1,100000.0,1375
137,0.02,2400,1,100000.0,1400
138,0.02,2400,1,100000.0,1425
139,0.02,2400,1,100000.0,1450
140,0.02,2400,1,100000.0,1475
141,0.02,2400,1,100000.0,1500
142,0.02,2400,1,100000.0,1525
143,0.02,2400,1,100000.0,1550
144,0.02,2400,1,100000.0,1575
145,0.02,2400,1,100000.0,1600
146,0.02,2400,1,100000.0,1625
147,0.02,2400,1,100000.0,1650
148,0.02,2400,1,100000.0,1675
149,0.02,2400,1,100000.0,1700
150,0.02,2400,1,100000.0,1725
151,0.02,2400,1,100000.0,1750
152,0.02,2400,1,100000.0,1775
153,0.02,2400,1,100000.0,1800
154,0.02,2400,1,100000.0,1825
155,0.02,2400,1,100000.0,1850
156,0.02,2400,1,100000.0,1875
157,0.02,2400,1,100000.0,1900
158,0.02,2400,1,100000.0,1925
159,0.02,2400,1,100000.0,1950
160,0.02,2400,1,100000.0,1975
161,0.02,2400,1,100000.0,2000
162,0.02,2400,1,100000.0,2025
163,0.02,2400,1,100000.0,2050
164,0.02,2400,1,100000.0,2075
165,0.02,2400,1,100000.0,2100
