,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
11,11,2.5,0.016,650,1,100000.0,,628.2,0.6282,650.0,0.018701877228102,0.0261161309128568,0.0034168894946122,,35.18582299399837,22.101052512644067,,,
12,12,2.5,0.016,700,1,100000.0,,651.4,0.6514000000000001,700.0,0.0195711436785586,0.0258012546877858,0.0034636075009224,,36.04504315221492,23.474681953495285,,,
13,13,2.5,0.016,750,1,100000.0,,677.5,0.6775,750.0,0.0196418869116996,0.0252924433213819,0.0035738065329937,,39.40239721884019,26.623837877429654,,,
14,14,2.5,0.016,800,1,100000.0,,717.0,0.7170000000000001,800.0,0.0220146599993426,0.02569346310458,0.0035992516305995,,37.371202335957626,26.71515715220557,,,
15,15,2.5,0.016,850,1,100000.0,,758.5,0.7585,850.0,0.0235784626519602,0.025142866949177,0.003631577133424,,36.853896769760254,27.927248211830868,,,
16,16,2.5,0.016,900,1,100000.0,,805.6,0.8055999999999999,900.0,0.0244660382643928,0.0250493681489838,0.0035356677012198,,37.83137383772824,30.520125891098296,,,
17,17,2.5,0.016,950,1,100000.0,,851.6,0.8516,950.0,0.0279509692835517,0.0236361254987601,0.0036423669859369,,34.52724943860107,29.300224942857547,,,
18,18,2.5,0.016,1000,1,100000.0,,881.4,0.8813999999999999,1000.0,0.0324739824915809,0.0240900002411322,0.0035562966765901,,31.116182252357465,27.43780185272542,,,
19,19,2.5,0.016,1050,1,100000.0,,912.4,0.9124,1050.0,0.0324871711880859,0.0224731446816315,0.0035090153565313,,33.216390345896016,30.34321958250101,,,
20,20,2.5,0.016,1100,1,100000.0,,953.6,0.9536,1100.0,0.0355192506934826,0.0243129418911124,0.0034303079012367,,31.14538005045153,29.701094198598383,,,
21,21,2.5,0.016,1150,1,100000.0,,974.3,0.9743,1150.0,0.0350523224603648,0.0213296707782977,0.0035436716652951,,33.33554781403771,32.48335026712336,,,
22,22,2.5,0.016,1200,1,100000.0,,989.2,0.9892,1200.0,0.0369688779897387,0.0236914683117609,0.0036702410737817,,33.32994187929613,32.945493503327214,,,
23,23,2.5,0.016,1250,1,100000.0,,1026.8,1.0268,1250.0,0.0394790581942288,0.0232539633158092,0.0035834429736425,,32.066246841821346,32.96029552177311,,,
24,24,2.5,0.016,1300,1,100000.0,,1020.4,1.0204,1300.0,0.0447149627557336,0.0223368518977565,0.0035759825803973,,29.312020551653045,29.92682157318301,,,
25,25,2.5,0.016,1350,1,100000.0,,1065.1,1.0651,1350.0,0.0474925664336978,0.0216662546794798,0.003666749637054,,28.57221165251471,30.400272318893364,,,
26,26,2.5,0.016,1400,1,100000.0,,1076.1,1.0761,1400.0,0.0447282339823004,0.0196993229772736,0.003592384987575,,31.513884162778048,33.93282719865665,,,
27,27,2.5,0.016,1450,1,100000.0,,1086.4,1.0863999999999998,1450.0,0.0490012509384768,0.0212891731583053,0.0035767901181125,,29.721602917339176,32.288373700498134,,,
28,28,2.5,0.016,1500,1,100000.0,,1086.8,1.0868,1500.0,0.0512733697220937,0.0204515934448759,0.0036564454733588,,29.547992519228465,32.11787649741262,,,
29,29,2.5,0.016,1550,1,100000.0,,1098.7,1.0987000000000002,1550.0,0.0568637761514536,0.0202173994008362,0.0036362998977317,,27.333575305922057,30.01828692782053,,,
30,30,2.5,0.016,1600,1,100000.0,,1071.5,1.0715,1600.0,0.0536179500900288,0.0191354387322745,0.0035352741298805,,30.090259285702796,32.22118894110662,,,
31,31,2.5,0.016,1650,1,100000.0,,1071.4,1.0714,1650.0,0.0612619211899981,0.0220916674669465,0.0035624249261413,,27.17429107682165,29.11427747043202,,,
32,32,2.5,0.016,1700,1,100000.0,,1068.1,1.0681,1700.0,0.06211513157034,0.0194608016150949,0.003636002831927,,27.5963250315052,29.511551086431226,,,
33,33,2.5,0.016,1750,1,100000.0,,1058.7,1.0587,1750.0,0.0668227724590451,0.0192995997998415,0.0035738039860837,,26.464269850705914,28.01812696565299,,,
34,34,2.5,0.016,1800,1,100000.0,,991.5,0.9915,1800.0,0.0690690915956792,0.019607340692546,0.003629621404441,,26.380818302623226,26.097418169935032,,,
35,35,2.5,0.016,1850,1,100000.0,,943.3,0.9433,1850.0,0.0699031336969027,0.0201089422686493,0.0035387205394496,,26.615706586928503,25.07185503740923,,,
36,36,2.5,0.016,1900,1,100000.0,,906.5,0.9065,1900.0,0.0766901962417704,0.0194713322502185,0.0035801838130974,,24.983809484272516,22.680117967782664,,,
37,37,2.5,0.016,1950,1,100000.0,,784.3,0.7843,1950.0,0.0744828439595266,0.0187984007043361,0.0035691518249041,,26.68399244015219,20.93562904044344,,,
38,38,2.5,0.016,2000,1,100000.0,,649.5,0.6495,2000.0,0.0742102097441374,0.0191689195946099,0.003576906463342,,27.471174509060354,17.85283164921045,,,
39,39,2.5,0.016,2050,1,100000.0,,408.9,0.4088999999999999,2050.0,0.08037402900718,0.019255049080467,0.0034311573914029,,26.178925436304496,10.7717014951608,,,
40,40,2.5,0.016,2100,1,100000.0,,29.5,0.0295,2100.0,0.0874292663507104,0.0205663824000626,0.0027765121936696,,24.331423881417308,0.716865486330138,,,
