,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
15,15,2.5,0.024,850,1,100000.0,,1151.9,1.1519,850.0,0.0423120511598994,0.0271106888294525,0.0052102545242701,,20.21431653415423,23.28110261156077,,,
16,16,2.5,0.024,900,1,100000.0,,1210.4,1.2104,900.0,0.0464491176022306,0.0294839763178358,0.0055986503322647,,19.44973266927939,23.54187559828373,,,
17,17,2.5,0.024,950,1,100000.0,,1265.6,1.2656,950.0,0.0502987169166885,0.0278559520501509,0.0053134694256966,,19.220175554691444,24.321843526522745,,,
18,18,2.5,0.024,1000,1,100000.0,,1317.9,1.3178999999999998,1000.0,0.0533731520682862,0.0285595218438654,0.0053879717637932,,18.94486993148452,24.98729405287388,,,
19,19,2.5,0.024,1050,1,100000.0,,1364.1,1.3641,1050.0,0.0595003512451057,0.0274744080069199,0.0050927372505512,,17.80352727155141,24.29903878380285,,,
20,20,2.5,0.024,1100,1,100000.0,,1422.5,1.4225,1100.0,0.0632964286012338,0.0283476351792724,0.0053842123160468,,17.589967468336717,25.01432826072344,,,
21,21,2.5,0.024,1150,1,100000.0,,1468.1,1.4680999999999995,1150.0,0.0677820381790069,0.0259657815741274,0.0053844564502832,,17.10930508877577,25.101829085763747,,,
22,22,2.5,0.024,1200,1,100000.0,,1504.6,1.5046,1200.0,0.0713728283777754,0.0262544339651172,0.0051661258118833,,17.003936560055138,25.589888062631555,,,
23,23,2.5,0.024,1250,1,100000.0,,1550.4,1.5503999999999998,1250.0,0.0793036915608353,0.0269330299484148,0.0052304220866999,,15.82564354483451,24.52802400949867,,,
24,24,2.5,0.024,1300,1,100000.0,,1551.7,1.5517,1300.0,0.0788166681597431,0.0260791761051354,0.0053504808930865,,16.692535313846886,25.919034466542264,,,
25,25,2.5,0.024,1350,1,100000.0,,1581.4,1.5814,1350.0,0.0863729535137053,0.0262466694083866,0.0053394704599933,,15.819464661302325,25.007220247294637,,,
26,26,2.5,0.024,1400,1,100000.0,,1592.6,1.5926000000000002,1400.0,0.0909894925426896,0.0252727335154148,0.0053403952193254,,15.52190106250762,24.741355920138016,,,
27,27,2.5,0.024,1450,1,100000.0,,1623.4,1.6234000000000002,1450.0,0.092373807502713,0.0261682108795783,0.0054367731072686,,15.757761270548167,25.563565180910874,,,
28,28,2.5,0.024,1500,1,100000.0,,1632.7,1.6327000000000005,1500.0,0.1048944914657794,0.0276390126911517,0.0053365340140796,,14.396119836408772,23.504266772758108,,,
29,29,2.5,0.024,1550,1,100000.0,,1668.7,1.6687,1550.0,0.1042139358642771,0.0253020004291965,0.0053790293170052,,14.973199985389224,24.995892033895917,,,
30,30,2.5,0.024,1600,1,100000.0,,1638.2,1.6382,1600.0,0.1128876359433661,0.0257210217376289,0.0052563835788649,,14.31689114014526,23.4403626572176,,,
31,31,2.5,0.024,1650,1,100000.0,,1628.4,1.6283999999999998,1650.0,0.1165899065329995,0.0259821221295426,0.0054635969878349,,14.201439923957178,23.137594595784275,,,
32,32,2.5,0.024,1700,1,100000.0,,1596.0,1.596,1700.0,0.1173242087434118,0.0243101510742269,0.0052635327778604,,14.646809219217914,23.40730819163518,,,
33,33,2.5,0.024,1750,1,100000.0,,1552.2,1.5521999999999998,1750.0,0.1197318846212737,0.0250611140651035,0.0054328909679448,,14.66618396687897,22.776422432179128,,,
34,34,2.5,0.024,1800,1,100000.0,,1503.4,1.5034,1800.0,0.130407542908324,0.0259263927935475,0.0054375027647936,,13.849023407010042,20.819571980123836,,,
35,35,2.5,0.024,1850,1,100000.0,,1441.9,1.4419,1850.0,0.1320200453261349,0.0225492928825685,0.0051726900045855,,14.28930600944443,20.594358851686163,,,
36,36,2.5,0.024,1900,1,100000.0,,1318.0,1.318,1900.0,0.1397883513004671,0.02266543648475,0.0052411313143654,,13.655688541686017,18.0034448240635,,,
37,37,2.5,0.024,1950,1,100000.0,,1158.8,1.1587999999999998,1950.0,0.1412423771632802,0.0251679635110209,0.0052112007036943,,13.956527912890866,16.189314349702624,,,
38,38,2.5,0.024,2000,1,100000.0,,943.8,0.9438,2000.0,0.1499861305791,0.0239056621088434,0.0052329904991943,,13.518293705344188,12.746625230637852,,,
39,39,2.5,0.024,2050,1,100000.0,,636.3,0.6363,2050.0,0.141101020875476,0.0246205487129719,0.0052207792670596,,14.971795865779365,9.514411303059898,,,
40,40,2.5,0.024,2100,1,100000.0,,43.6,0.0435999999999999,2100.0,0.176328873501096,0.0266496529985839,0.0050671742010801,,12.09851643504708,0.5273425837056764,,,
41,41,2.5,0.016,100,1,100000.0,,607.1,0.6071,100.0,0.00248738364224,0.0679618962291309,0.003685112122907,,41.612242350987096,25.178531246318418,,,
42,42,2.5,0.016,150,1,100000.0,,560.6,0.5606,150.0,0.0039859436970316,0.0585163204097289,0.0035358948019052,,38.37428155213599,21.524159917162628,,,
43,43,2.5,0.016,200,1,100000.0,,337.4,0.3374,200.0,0.005414712267688,0.0526721228592009,0.003507418537244,,38.3100547288354,12.888548163477235,,,
44,44,2.5,0.016,250,1,100000.0,,343.8,0.3438,250.0,0.0075823238597109,0.0501682373207735,0.0035505332540668,,34.24472666473548,11.796318231838628,,,
45,45,2.5,0.016,300,1,100000.0,,384.3,0.3842999999999999,300.0,0.0089875649439079,0.0424065755701717,0.0037313541495982,,34.244728221710254,13.170886875192366,,,
46,46,2.5,0.016,350,1,100000.0,,395.6,0.3956,350.0,0.0117329414984794,0.0375055719943413,0.0036099361399963,,30.47511397955548,12.052730169476456,,,
47,47,2.5,0.016,400,1,100000.0,,456.8,0.4567999999999999,400.0,0.0145046203804269,0.036242654342239,0.0039947277119831,,28.262591849718596,12.886101391282292,,,
48,48,2.5,0.016,450,1,100000.0,,507.1,0.5071,450.0,0.0157305400132031,0.0345366647800026,0.0037528045468402,,29.201967814075328,14.736549088251238,,,
49,49,2.5,0.016,500,1,100000.0,,532.6,0.5326,500.0,0.0175517799564374,0.0328709635298525,0.0036884486769504,,29.099340375470792,15.549423532538132,,,
50,50,2.5,0.016,550,1,100000.0,,532.6,0.5326000000000001,550.0,0.0204947612429691,0.0335432413000362,0.0036414820542985,,27.33988471252456,14.527984207624645,,,
51,51,2.5,0.016,600,1,100000.0,,578.4,0.5783999999999999,600.0,0.0219463068873096,0.0330829430777112,0.0035909072278342,,27.702988258501705,16.05432228166732,,,
52,52,2.5,0.016,650,1,100000.0,,633.3,0.6333,650.0,0.0253962632145316,0.0299425415483156,0.0037360059955192,,26.146498374766765,16.538919611951147,,,
53,53,2.5,0.016,700,1,100000.0,,664.0,0.664,700.0,0.0297853423535798,0.0288415863334346,0.0038527656243204,,24.085458594902896,15.947491330342412,,,
54,54,2.5,0.016,750,1,100000.0,,696.7,0.6967,750.0,0.0348971249023065,0.0298726153668805,0.0037528837912045,,21.74677489427613,15.124055567631498,,,
55,55,2.5,0.016,800,1,100000.0,,717.6,0.7175999999999999,800.0,0.0402783844321674,0.0294184289874754,0.0036560735535441,,20.05221267694023,14.382881520138769,,,
56,56,2.5,0.016,850,1,100000.0,,758.9,0.7588999999999999,850.0,0.0397680395358065,0.0303194864064865,0.0036858474998002,,21.77883191122204,16.51944099664781,,,
57,57,2.5,0.016,900,1,100000.0,,818.4,0.8183999999999999,900.0,0.040362542325829,0.0282281932474819,0.0034940024362456,,22.6835538185263,18.595536839960037,,,
58,58,2.5,0.016,950,1,100000.0,,857.7,0.8577,950.0,0.0457734352984402,0.0277653878197514,0.0036158538336021,,21.12295282726175,18.132778603221897,,,
59,59,2.5,0.016,1000,1,100000.0,,870.7,0.8706999999999999,1000.0,0.046484578589036,0.0275225409406328,0.0039071650631464,,21.999981225326533,19.158940428415704,,,
60,60,2.5,0.016,1050,1,100000.0,,920.1,0.9201,1050.0,0.0511623245756708,0.0283553183694982,0.0038266819211542,,20.76530663516568,19.106648034984246,,,
61,61,2.5,0.016,1100,1,100000.0,,965.2,0.9652,1100.0,0.0556716894428745,0.0272351972183188,0.0038788015513569,,19.89360379637462,19.19171834524759,,,
