Energy1[eV]	Photons1	Energy3[eV]	Photons3	Energy5[eV]	Photons5	Energy7[eV]	Photons7
5.01313e+2	4.93694e+14	1.50394e+3	2.56679e+13	2.50657e+3	1.47487e+12	3.50919e+3	8.63932e+10
5.01040e+2	4.94784e+14	1.50312e+3	2.58463e+13	2.50520e+3	1.49226e+12	3.50728e+3	8.78343e+10
5.00767e+2	4.95878e+14	1.50230e+3	2.60255e+13	2.50383e+3	1.50982e+12	3.50537e+3	8.92962e+10
5.00494e+2	4.96964e+14	1.50148e+3	2.62056e+13	2.50247e+3	1.52755e+12	3.50345e+3	9.07791e+10
5.00220e+2	4.97718e+14	1.50066e+3	2.63866e+13	2.50110e+3	1.54545e+12	3.50154e+3	9.22834e+10
4.99947e+2	4.98807e+14	1.49984e+3	2.65683e+13	2.49973e+3	1.56351e+12	3.49963e+3	9.38092e+10
4.99673e+2	4.99895e+14	1.49902e+3	2.67509e+13	2.49837e+3	1.58175e+12	3.49771e+3	9.53568e+10
4.99399e+2	5.00983e+14	1.49820e+3	2.69344e+13	2.49700e+3	1.60016e+12	3.49580e+3	9.69265e+10
4.99125e+2	5.02071e+14	1.49738e+3	2.71187e+13	2.49563e+3	1.61874e+12	3.49388e+3	9.85185e+10
4.98852e+2	5.03159e+14	1.49655e+3	2.73038e+13	2.49426e+3	1.63749e+12	3.49196e+3	1.00133e+11
4.98577e+2	5.04246e+14	1.49573e+3	2.74898e+13	2.49289e+3	1.65642e+12	3.49004e+3	1.01771e+11
4.98303e+2	5.05333e+14	1.49491e+3	2.76766e+13	2.49152e+3	1.67553e+12	3.48812e+3	1.03431e+11
4.98029e+2	5.06420e+14	1.49409e+3	2.78643e+13	2.49015e+3	1.69482e+12	3.48620e+3	1.05115e+11
4.97755e+2	5.07507e+14	1.49326e+3	2.80528e+13	2.48877e+3	1.71428e+12	3.48428e+3	1.06823e+11
4.97480e+2	5.08594e+14	1.49244e+3	2.82422e+13	2.48740e+3	1.73392e+12	3.48236e+3	1.08554e+11
4.97206e+2	5.10023e+14	1.49162e+3	2.84324e+13	2.48603e+3	1.75375e+12	3.48044e+3	1.10310e+11
4.96931e+2	5.11110e+14	1.49079e+3	2.86235e+13	2.48466e+3	1.77376e+12	3.47852e+3	1.12090e+11
4.96656e+2	5.12196e+14	1.48997e+3	2.88154e+13	2.48328e+3	1.79395e+12	3.47659e+3	1.13896e+11
4.96381e+2	5.13283e+14	1.48914e+3	2.90082e+13	2.48191e+3	1.81432e+12	3.47467e+3	1.15726e+11
4.96106e+2	5.14369e+14	1.48832e+3	2.92018e+13	2.48053e+3	1.83489e+12	3.47275e+3	1.17581e+11
4.95831e+2	5.15455e+14	1.48749e+3	2.93963e+13	2.47916e+3	1.85564e+12	3.47082e+3	1.19462e+11
4.95556e+2	5.16540e+14	1.48667e+3	2.95916e+13	2.47778e+3	1.87657e+12	3.46889e+3	1.21369e+11
4.95281e+2	5.17625e+14	1.48584e+3	2.97878e+13	2.47641e+3	1.89770e+12	3.46697e+3	1.23303e+11
4.95006e+2	5.18710e+14	1.48502e+3	2.99849e+13	2.47503e+3	1.91902e+12	3.46504e+3	1.25262e+11
4.94730e+2	5.19795e+14	1.48419e+3	3.01829e+13	2.47365e+3	1.94053e+12	3.46311e+3	1.27249e+11
4.94455e+2	5.20879e+14	1.48336e+3	3.03816e+13	2.47227e+3	1.96224e+12	3.46118e+3	1.29263e+11
4.94179e+2	5.21964e+14	1.48254e+3	3.05813e+13	2.47090e+3	1.98413e+12	3.45925e+3	1.31304e+11
4.93903e+2	5.23048e+14	1.48171e+3	3.07818e+13	2.46952e+3	2.00623e+12	3.45732e+3	1.33373e+11
4.93628e+2	5.24131e+14	1.48088e+3	3.09832e+13	2.46814e+3	2.02852e+12	3.45539e+3	1.35469e+11
4.93352e+2	5.25215e+14	1.48006e+3	3.11855e+13	2.46676e+3	2.05101e+12	3.45346e+3	1.37595e+11
4.93076e+2	5.26298e+14	1.47923e+3	3.13886e+13	2.46538e+3	2.07370e+12	3.45153e+3	1.39748e+11
4.92800e+2	5.27381e+14	1.47840e+3	3.15926e+13	2.46400e+3	2.09659e+12	3.44960e+3	1.41931e+11
4.92524e+2	5.28103e+14	1.47757e+3	3.17975e+13	2.46262e+3	2.11969e+12	3.44766e+3	1.44143e+11
4.92247e+2	5.29184e+14	1.47674e+3	3.20032e+13	2.46124e+3	2.14298e+12	3.44573e+3	1.46385e+11
4.91971e+2	5.30265e+14	1.47591e+3	3.22098e+13	2.45985e+3	2.16649e+12	3.44380e+3	1.48657e+11
4.91695e+2	5.31346e+14	1.47508e+3	3.24173e+13	2.45847e+3	2.19019e+12	3.44186e+3	1.50959e+11
4.91418e+2	5.32426e+14	1.47425e+3	3.26257e+13	2.45709e+3	2.21411e+12	3.43993e+3	1.53291e+11
4.91141e+2	5.33507e+14	1.47342e+3	3.28349e+13	2.45571e+3	2.23823e+12	3.43799e+3	1.55655e+11
4.90865e+2	5.34586e+14	1.47259e+3	3.30450e+13	2.45432e+3	2.26256e+12	3.43605e+3	1.58049e+11
4.90588e+2	5.35666e+14	1.47176e+3	3.32560e+13	2.45294e+3	2.28711e+12	3.43412e+3	1.60476e+11
4.90311e+2	5.36745e+14	1.47093e+3	3.34679e+13	2.45156e+3	2.31186e+12	3.43218e+3	1.62934e+11
4.90034e+2	5.37824e+14	1.47010e+3	3.36806e+13	2.45017e+3	2.33683e+12	3.43024e+3	1.65424e+11
4.89757e+2	5.39270e+14	1.46927e+3	3.38942e+13	2.44879e+3	2.36202e+12	3.42830e+3	1.67948e+11
4.89480e+2	5.40349e+14	1.46844e+3	3.41087e+13	2.44740e+3	2.38742e+12	3.42636e+3	1.70504e+11
4.89203e+2	5.41428e+14	1.46761e+3	3.43241e+13	2.44602e+3	2.41304e+12	3.42442e+3	1.73093e+11
4.88926e+2	5.42506e+14	1.46678e+3	3.45404e+13	2.44463e+3	2.43888e+12	3.42248e+3	1.75716e+11
4.88649e+2	5.43584e+14	1.46595e+3	3.47575e+13	2.44324e+3	2.46493e+12	3.42054e+3	1.78373e+11
4.88371e+2	5.44662e+14	1.46511e+3	3.49756e+13	2.44186e+3	2.49121e+12	3.41860e+3	1.81065e+11
4.88094e+2	5.45739e+14	1.46428e+3	3.51945e+13	2.44047e+3	2.51771e+12	3.41666e+3	1.83791e+11
4.87816e+2	5.46815e+14	1.46345e+3	3.54143e+13	2.43908e+3	2.54444e+12	3.41471e+3	1.86552e+11
4.87539e+2	5.47892e+14	1.46262e+3	3.56350e+13	2.43769e+3	2.57139e+12	3.41277e+3	1.89349e+11
