,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
17,17,0.02,1200,1,100000.0,900,,3621.0,3.621,,0.05007064821613767,0.06751760573239056,0.004799759460679428
18,18,0.02,1200,1,100000.0,950,,3722.0,3.722,,0.05240542395115426,0.07056961822763586,0.004560355929703016
19,19,0.02,1200,1,100000.0,1000,,3820.4,3.8204,,0.0580588976626359,0.06634973763557929,0.004647057770911176
20,20,0.02,1200,1,100000.0,1050,,3896.0,3.896,,0.0624627560796398,0.06728733828541335,0.004902384244442463
21,21,0.02,1200,1,100000.0,1100,,4010.8,4.0108,,0.067300985477641,0.06584637148580387,0.004649542711574278
22,22,0.02,1200,1,100000.0,1150,,4061.8,4.0618,,0.06326907242460038,0.06688114654829876,0.00446964934243931
23,23,0.02,1200,1,100000.0,1200,,4165.6,4.1656,,0.07549168974051097,0.06316015277906463,0.004711368229322284
24,24,0.02,1200,1,100000.0,1250,,4275.4,4.2754,,0.08056227742249575,0.06704248958893738,0.0047643093384911244
25,25,0.02,1200,1,100000.0,1300,,4359.8,4.359800000000001,,0.08463933960356369,0.06551517665205016,0.0049323578415440845
26,26,0.02,1200,1,100000.0,1350,,4432.0,4.432,,0.08439876988686593,0.06927521964671028,0.0047698200471604875
27,27,0.02,1200,1,100000.0,1400,,4528.6,4.5286,,0.08804703688488189,0.06790597298245167,0.004626219503923387
28,28,0.02,1200,1,100000.0,1450,,4607.4,4.6074,,0.09700157475099332,0.06456253076415115,0.004578484602726134
29,29,0.02,1200,1,100000.0,1500,,4663.6,4.663600000000001,,0.0983848163361472,0.06707170563271822,0.004695339118390419
30,30,0.02,1200,1,100000.0,1550,,4728.2,4.7282,,0.106640266146087,0.06725688759009896,0.004831438165212074
31,31,0.02,1200,1,100000.0,1600,,4885.0,4.885,,0.10884796835143788,0.0682551714938358,0.0048562245293946055
32,32,0.02,1200,1,100000.0,1650,,4906.4,4.9064,,0.1101042189419786,0.06733752697389155,0.004691951727812798
33,33,0.02,1200,1,100000.0,1700,,4934.8,4.9348,,0.12136470408740932,0.06602791756858872,0.004617230470414036
34,34,0.02,1200,1,100000.0,1750,,5069.6,5.0696,,0.1222748861947366,0.06492871941009515,0.00482832438213867
35,35,0.02,1200,1,100000.0,1800,,5112.0,5.112,,0.12856015821848815,0.06704597531893072,0.004468448987312992
36,36,0.02,1200,1,100000.0,1850,,5189.2,5.1892,,0.13979545339157085,0.06719212390888007,0.004802651559864169
37,37,0.02,1200,1,100000.0,1900,,5197.8,5.197799999999999,,0.1447300927165088,0.06539579232831264,0.004673803461956033
38,38,0.02,1200,1,100000.0,1950,,5292.8,5.292800000000001,,0.14402159132164344,0.06578073902342846,0.004812952544676178
39,39,0.02,1200,1,100000.0,2000,,5330.0,5.33,,0.15060948265058868,0.0645371459755043,0.004537254490819137
40,40,0.02,1200,1,100000.0,2050,,5490.2,5.4902,,0.15766734749649913,0.0650690063612954,0.004499579554966396
41,41,0.02,1200,1,100000.0,2100,,5487.0,5.487,,0.16295088194419804,0.06775202097104387,0.0047814138995620524
42,42,0.02,2400,1,100000.0,50,,525.4,0.5254,,0.0008542053600280042,0.08497677510987163,0.00426679817566996
43,43,0.02,2400,1,100000.0,100,,806.2,0.8062000000000001,,0.001856685407173586,0.07575218716059923,0.00461429279894749
44,44,0.02,2400,1,100000.0,150,,1005.4,1.0054,,0.0028265752259471807,0.06736809776525485,0.004145030945856027
45,45,0.02,2400,1,100000.0,200,,1161.2,1.1612,,0.0044064654128419525,0.06891305293161994,0.0039013157606200177
46,46,0.02,2400,1,100000.0,250,,1327.4,1.3274,,0.006042536544322273,0.07370682454213293,0.004504058436968105
47,47,0.02,2400,1,100000.0,300,,1489.6,1.4896,,0.007149317625373896,0.0706445539512235,0.004853303466252094
48,48,0.02,2400,1,100000.0,350,,1590.8,1.5908000000000002,,0.009284650074073397,0.06398318309317877,0.0047602394430627006
49,49,0.02,2400,1,100000.0,400,,1710.6,1.7106,,0.011252927801501753,0.07196673290012323,0.004333999391659209
50,50,0.02,2400,1,100000.0,450,,1808.2,1.8082,,0.01311193127781962,0.05896734394801628,0.004544524578811972
